RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#13,#13-0001,11B469_LH_AZ05_PAR_9Ja_D_1,,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'31.26""N","111°48'14.94""W",428332.604,4081346.493,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,0.18,0.27,1.62,0.03,1.7,,0.26,0.004,0.046,0.001,0.157,0.002,,,,,,,,,,,2.35E-06,2.50E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
#13,#13-0002,11B472_AA_AZ_05_PAR_9Jna_D_1,,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'31.26""N","111°48'14.94""W",428332.604,4081346.493,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,0.12,1.11,1.07,0.02,1.8,,1.078,0.018,0.127,0.002,0.377,0.006,,,,,,,,,,,6.38E-06,5.90E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
#13,#13-0003,11B473_AA_AZ_05_PAR_9Jna_D_2,,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'31.26""N","111°48'14.94""W",428332.604,4081346.493,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,0.13,0.1,1.62,0.06,3.5,,0.095,0.001,0.012,0,0.044,0.001,,,,,,,,,,,8.50E-07,2.70E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
#13,#13-0004,11B478_AZ05_PAR_9Jna_D_3,,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'31.26""N","111°48'14.94""W",428332.604,4081346.493,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,0.07,0.6,1.16,0.02,1.9,,0.594,0.009,0.041,0.001,0.146,0.002,,,,,,,,,,,3.77E-06,4.50E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
#13,#13-0005,11B479_AZ05_PAR_9Jna_D_4,,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'31.26""N","111°48'14.94""W",428332.604,4081346.493,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,0.21,0.35,0.59,0.01,2.4,,0.332,0.005,0.07,0.001,0.073,0.001,,,,,,,,,,,1.10E-06,2.20E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
#13,#13-0006,11AA540_PR_AZ05_PAR_9Ja_1 (ext of 9Jna_D),,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'31.26""N","111°48'14.94""W",428332.604,4081346.493,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,1.67,0.11,0.43,0.04,9.4,,0.076,0.002,0.127,0.003,0.169,0.003,,,,,,,,,,,2.40E-07,2.20E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
#13,#13-0007,11AA541_PR_AZ05_PAR_9Ja_2 (ext of 9Jna_D),,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'31.26""N","111°48'14.94""W",428332.604,4081346.493,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,0.89,0.18,0.46,0.02,3.9,,0.149,0.004,0.133,0.003,0.108,0.002,,,,,,,,,,,4.50E-07,1.50E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
#13,#13-0008,11AA542_PR_AZ05_PAR_9Ja_3 (ext of 9Jna_D),,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'31.26""N","111°48'14.94""W",428332.604,4081346.493,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,0.88,0.17,0.21,0.01,6.8,,0.137,0.003,0.12,0.003,0.069,0.001,,,,,,,,,,,1.90E-07,1.20E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
#13,#13-0009,11AA544_PR_AZ05_PAR_9Jn_4 (ext of 9Jna_D),,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'31.26""N","111°48'14.94""W",428332.604,4081346.493,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,0.51,0.37,1.06,0.02,2.3,,0.333,0.008,0.17,0.003,0.111,0.002,,,,,,,,,,,2.13E-06,2.30E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
#13,#13-0010,11B471_AZ05_PAR_10Jn_A_int_2_LH,,"Paria| Vermillion Cliff, N. Arizona",USA,"36°52'35.1588""N","111°48'14.4612""W",428345.469,4081466.534,12S,,,goethite,sandstone,Lateritized continental sediments,,,,,,,,,0.33,0.12,1.9,0.05,2.7,,0.11,0.002,0.036,0.001,0.092,0.001,,,,,,,,,,,1.21E-06,2.90E-08,,,,,,,,,"U, Th, Sm: ng | He: nmol"
