RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#27,#27-0001,25450-1,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.13,,8.2,0.3,8.2,0.9,0.08,2.8,0.01,2.5,,,0.08,3.3,,,,,,,,,,,,,,,,,,,Approximate geographic location
#27,#27-0002,25450-2,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.07,,11.2,0.4,11.2,1.2,0.11,2.2,0.01,5.7,,,0.15,2.7,,,,,,,,,,,,,,,,,,,Approximate geographic location
#27,#27-0003,25450-3,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.1,,12.5,0.4,12.5,1.3,0.12,2.2,0.01,4.2,,,0.18,2.6,,,,,,,,,,,,,,,,,,,Approximate geographic location
#27,#27-0004,25450-4,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.05,,12.1,0.4,12.1,1.3,0.11,2.3,0.01,8.3,,,0.16,2.7,,,,,,,,,,,,,,,,,,,Approximate geographic location
#27,#27-0005,25450-5,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.05,,13.4,0.6,13.4,1.4,0.06,2.8,0,2.5,,,0.09,3,,,,,,,,,,,,,,,,,,,Approximate geographic location
#27,#27-0006,25451-A-1,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.58,,13.9,0.4,13.9,1.5,0.33,2.3,0.19,1.7,,,0.63,2.5,,,,,,,,,,,,,,,,,,,Approximate geographic location
#27,#27-0007,25451-A-2,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.85,,13.7,0.4,13.7,1.4,0.42,2.2,0.36,1.7,,,0.85,2.5,,,,,,,,,,,,,,,,,,,Approximate geographic location
#27,#27-0008,25451-A-3,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.66,,13.7,0.4,13.7,1.4,0.68,2.2,0.45,1.7,,,1.31,2.5,,,,,,,,,,,,,,,,,,,Approximate geographic location
#27,#27-0009,25451-A-4,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,1.02,,14.3,0.5,14.3,1.5,0.69,2.8,0.7,2.5,,,1.48,2.4,,,,,,,,,,,,,,,,,,,Approximate geographic location
#27,#27-0010,25451-A-5,,"Garden Well Mine, Western Australia",Australia,"27°53'46""S","122°21'44""E",437231.31,6914142.39,51J,,,goethite,"Weathered metamorphosed ultramafic, mafic, and felsic volcanic rocks with associated volcanoclastic sedimentary rocks",Gossans and Lateritized Cu-Au deposits,,,,,,,,,1.01,,14.4,0.5,14.4,1.5,0.67,2.3,0.68,1.7,,,1.46,2.5,,,,,,,,,,,,,,,,,,,Approximate geographic location
