RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#04,#04-0001,06BR064JOA-P1 (b),,"João Câmara, Rio Grande do Norte",Brazil,"5°27'30.000""S","35°45'59.940""W",193409.9881,95967.383,25M,136,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,18.39,,214.08,,,,0.45,,11.64,68.7,1.21,0.13,1.33,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04,#04-0002,06BR064JOA-P2 (b),,"João Câmara, Rio Grande do Norte",Brazil,"5°27'30.000""S","35°45'59.940""W",193409.9881,95967.383,25M,136,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,29.33,,369.64,,,,1.88,,12.6,116.19,2.97,0.32,3.27,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04,#04-0003,06BR064JOA-P2 (n),,"João Câmara, Rio Grande do Norte",Brazil,"5°27'30.000""S","35°45'59.940""W",193409.9881,95967.383,25M,136,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,32.6,,641.45,,,,5.86,,19.68,183.34,5.88,0.62,6.46,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04,#04-0004,06BR064JOA-P5 (b),,"João Câmara, Rio Grande do Norte",Brazil,"5°27'30.000""S","35°45'59.940""W",193409.9881,95967.383,25M,136,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,41.16,,398.52,,,,6.69,,9.68,134.82,9.11,0.99,10.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04,#04-0005,06BR078PON-P1 (b),,"João Câmara, Rio Grande do Norte",Brazil,"5°27'30.000""S","35°45'59.940""W",193409.9881,95967.383,25M,136,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,10.17,,532.74,,,,7.84,,52.37,135.37,10.64,1.08,11.7,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04,#04-0006,06BR078PON-P1 (m),,"Ponta Grossa, Ceará",Brazil,"4°37'44.580""S","37°30'16.920""W",665869.0301,9488165.018,24M,14,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,17.05,,766.17,,,,11.96,,44.93,197.1,11.15,1.13,12.26,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04,#04-0007,06BR078PON-P1 (n),,"Ponta Grossa, Ceará",Brazil,"4°37'44.580""S","37°30'16.920""W",665869.0301,9488165.018,24M,14,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,7.55,,198.18,,,,5.01,,26.26,54.12,17.01,1.76,18.71,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04,#04-0008,06BR078PON-P2 (b),,"Ponta Grossa, Ceará",Brazil,"4°37'44.580""S","37°30'16.920""W",665869.0301,9488165.018,24M,14,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,11.52,,487.7,,,,11.39,,42.35,126.12,16.58,1.69,18.23,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04,#04-0009,06BR078PON-P2 (m),,"Ponta Grossa, Ceará",Brazil,"4°37'44.580""S","37°30'16.920""W",665869.0301,9488165.018,24M,14,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,10.75,,392.7,,,,6.5,,36.52,103.04,11.58,1.19,12.74,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
#04,#04-0010,06BR078PON-P3 (b),,"Ponta Grossa, Ceará",Brazil,"4°37'44.580""S","37°30'16.920""W",665869.0301,9488165.018,24M,14,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,2.18,,207.77,,,,11.25,,95.3,51.01,40.45,4.07,44.49,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
