RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#02,#02-0016,Yan02-05(b),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,470,35,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,0.38,,5.00,0.10,5.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0017,Yan02-06(a),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,0.77,,11.70,0.40,13.70,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0018,Yan02-06(b),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,1.06,,12.90,0.40,15.10,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0019,Yan02-09-A(a),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,0.20,,6.30,0.20,7.40,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0020,Yan02-09-A(b),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,0.25,,7.90,0.20,9.20,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
