RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#11,#11-0001,PB 2-2 G1,08BYT,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,2.01,,36.87,,,,0.17,,18.35,10.67,2.89,,3.17,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11,#11-0002,PB 2-2 G2,08BYU,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,1.1,,24.83,,,,0.11,,22.57,6.93,3.02,,3.33,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11,#11-0003,PB 2-2 G3,08BYV,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,1.76,,32.74,,,,0.15,,18.57,9.46,2.98,,3.27,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11,#11-0004,PB 2-3 G3_1,08BYW,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,1.29,,26.35,,,,0.13,,20.45,7.48,3.31,,3.64,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11,#11-0005,PB 2-3 G3_2,08BYX,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,1.2,,25.11,,,,0.12,,20.9,7.1,3.17,,3.49,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11,#11-0006,PB 11-2 G1,08BYY,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,3.37,,51.77,,,,0.18,,15.38,15.53,2.12,,2.33,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11,#11-0007,PB 11-2 G2,08BYZ,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,4.02,,58.75,,,,0.12,,14.6,17.83,1.27,,1.4,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11,#11-0008,PB 11-3 G1,08BZA,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,8.77,,85.54,,,,0.13,,9.75,28.88,0.83,,0.91,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11,#11-0009,PB 11-3 G2,08BZB,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,8.55,,79.51,,,,0.14,,9.3,27.24,0.97,,1.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
#11,#11-0010,PB 13-7 G1,08BZC,Paraíba,Brazil,"07°06'31.70""S","34°57'48.37""W",283145.674,9213763.021,25M,,,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",Lateritized continental sediments,4.35,,37.47,,,,0.03,,8.61,13.16,0.43,,0.47,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
