RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#18,#18-0001,ZK1217-1.5X,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,8.84,49.48,1.93,0.02,2.24,0.17,,,,,,,,,,,,,,,,,,,16.08,0.15,142.13,0.86,0.46,0.01,0.111,0,
#18,#18-0002,ZK1217-1.5Y,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,3.1,38.87,0.46,0.01,0.53,0.04,,,,,,,,,,,,,,,,,,,22.49,0.21,69.7,0.42,5.43,0.05,0.022,0,
#18,#18-0003,ZK1217-5X,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.94,27.77,5.37,0.07,6.24,0.48,,,,,,,,,,,,,,,,,,,22.74,0.23,21.39,0.16,1.25,0.01,0.226,0.001,
#18,#18-0004,ZK1217-5Y,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.18,97.64,4.85,0.06,5.64,0.43,,,,,,,,,,,,,,,,,,,93.73,0.83,16.65,0.13,1.5,0.02,0.644,0.002,
#18,#18-0005,ZK1217-11X,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.05,30.77,5.79,0.07,6.73,0.51,,,,,,,,,,,,,,,,,,,30.41,0.28,1.52,0.01,1.4,0.01,0.23,0.001,
#18,#18-0006,ZK1217-11Y,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.03,39.47,5.72,0.07,6.65,0.51,,,,,,,,,,,,,,,,,,,39.21,0.36,1.12,0.01,6.06,0.06,0.292,0.001,
#18,#18-0007,ZK1217-16.3X,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,1.26,6.17,3.24,0.05,3.77,0.3,,,,,,,,,,,,,,,,,,,4.76,0.04,5.99,0.05,0.19,0,0.026,0,
#18,#18-0008,ZK1217-16.3Y,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,1.42,6.25,3.03,0.04,3.52,0.27,,,,,,,,,,,,,,,,,,,4.68,0.04,6.66,0.05,0.24,0,0.024,0,
#18,#18-0009,ZK1217-20X,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.01,149.49,4.93,0.06,5.73,0.44,,,,,,,,,,,,,,,,,,,149.11,1.37,1.62,0.01,0.47,0,0.952,0.003,
#18,#18-0010,ZK1217-20Y,,"Yulong deposit, Tibetan Plateau",China,31°24'30''N,97°44'00''E,379590.11,3475550.611,47R,,,goethite,"Quartz-sulfide stockworks and sulfide disseminations within altered porphyry intrusions, and stratiform Cu–Fe sulfide ores ",Gossans and Lateritized Cu-Au deposits,,,,,,,,,0.01,191.85,4.93,0.06,5.73,0.44,,,,,,,,,,,,,,,,,,,191.45,1.67,1.7,0.01,0.58,0.01,1.222,0.003,
