RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#15,#15-0001,QF57A1a,09RXD,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,2.4,0.07,13.69,0.23,,,0.19,0,5.7,5.62,6.08,0.2,6.69,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0002,QF57A1b,09RYF,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.93,0.03,4.86,0.11,,,0.03,0,5.22,2.08,2.8,0.17,3.08,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0003,QF57A1c,09RWY,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,1.39,0.04,6.58,0.13,,,0.06,0,4.75,2.93,3.66,0.15,4.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0004,QF57A2a,09SBX,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.33,0.01,2.74,0.05,,,0.01,0,8.39,0.97,1.29,0.13,1.42,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0005,QF57A2b,09SCB,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.18,0.08,16.91,0.26,,,0.02,0,5.32,7.15,0.43,0.04,0.47,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0006,QF57A2c,09SCD,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,1.18,0.03,7.34,0.12,,,0.01,0,6.22,2.9,0.44,0.06,0.48,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0007,QF57B1a,09QVR,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,6.68,0.14,24.99,0.39,,,0.34,0,3.74,12.55,4.92,0.13,5.41,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0008,QF57B1b,09QVH,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,2.23,0.07,22.86,0.35,,,0.23,0,10.25,7.6,5.61,0.18,6.17,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0009,QF57B1c,09QUX,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.85,0.1,26.19,0.38,,,0.1,0,6.8,10,1.88,0.05,2.07,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0010,QF57B2a,09QUN,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.46,0.02,2.93,0.06,,,0.01,0,6.38,1.15,0.93,0.04,1.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#15,#15-0011,QF57B2b,09RXF,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°3'36.592""S","44°01'28.282""W",602005,7781563,23K,1400,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.53,0.02,5.81,0.1,,,0.01,0,10.99,1.89,0.79,0.08,0.87,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
