RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#28,#28-0001,NA-18-08_P01(a), 16DWR,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,1.09,0.02,20.93,0.34,0.33,0.03,0.08,0.01,19.2,6.01,2.51,0.03,2.76,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
#28,#28-0002,NA-18-08_P01(b), 16DYE,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,0.54,0.01,21.49,0.23,0.4,0.03,0.1,0.01,39.8,5.59,3.28,0.04,3.6,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
#28,#28-0003,NA-18-08_P01(c), 16DYL,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,1.5,0.03,23.84,0.48,5.46,0.21,0.14,0.01,15.89,7.1,3.57,0.04,3.92,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
#28,#28-0004,NA-18-08_P01, 16GBM,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,0.77,0.02,20.46,0.38,0.3,0.04,0.07,0,26.57,5.58,2.2,0.03,2.42,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
#28,#28-0005,NA-18-08_P02(a), 16DWS,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,1.28,0.02,25.42,0.39,0.39,0.02,0.1,0.01,19.86,7.25,2.58,0.03,2.83,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
#28,#28-0006,NA-18-08_P02(b), 16DWY,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,0.78,0.02,20.66,0.38,0.34,0.02,0.08,0.01,26.49,5.64,2.68,0.03,2.95,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
#28,#28-0007,NA-18-08_P02(c), 16DYO,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,1.16,0.04,24.25,0.73,0.4,0.03,0.09,0,20.91,6.86,2.54,0.03,2.8,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
#28,#28-0008,NA-18-08_P04(a), 16DWT,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,2.13,0.04,38.61,0.64,0.74,0.05,0.13,0.01,18.13,11.2,2.21,0.02,2.43,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
#28,#28-0009,NA-18-08_P04(b), 16DYU,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,2.13,0.04,42.4,0.77,0.61,0.04,0.14,0.01,19.91,12.09,2.12,0.03,2.33,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#28,#28-0010,NA-18-08_P04, 16GBR,"Nova Almeida, Espírito Santo",Brazil,"20°4'5.520""S","40°10'50.160""W",376549.618,7780535.18,24K,12,,goethite,"Medium to coarse-grained sandstone, conglomerate, and ,massive or laminated mudstone.",Lateritized continental sediments,1.38,0.03,30.64,0.59,0.39,0.06,0.13,0.01,22.2,8.58,2.75,0.03,3.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
