RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#32,#32-0001,Cortex,,Minas Gerais,Brazil,"19°20'20.83""S","47°17'38.5""W",,,,1100,,goethite,pyroclastic and epiclastic rocks,Laterizided Alkaline-Carbonatite Complexes,9.7,,58.3,,1.7,,1.55,,6.01,23.4,12.2,1.5,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#32,#32-0002,Cortex,,Minas Gerais,Brazil,"19°20'20.83""S","47°17'38.5""W",,,,1100,,goethite,pyroclastic and epiclastic rocks,Laterizided Alkaline-Carbonatite Complexes,10.7,,70.9,,3.1,,1.68,,6.63,27.36,11.4,0.4,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#32,#32-0003,Cortex,,Minas Gerais,Brazil,"19°20'20.83""S","47°17'38.5""W",,,,1100,,goethite,pyroclastic and epiclastic rocks,Laterizided Alkaline-Carbonatite Complexes,10.4,,63.2,,2.1,,1.48,,6.08,25.25,10.8,0.3,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#32,#32-0004,Cortex,,Minas Gerais,Brazil,"19°20'20.83""S","47°17'38.5""W",,,,1100,,goethite,pyroclastic and epiclastic rocks,Laterizided Alkaline-Carbonatite Complexes,12.2,,73.4,,2.3,,1.79,,6.02,29.45,11.2,0.4,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#32,#32-0005,Cortex,,Minas Gerais,Brazil,"19°20'20.83""S","47°17'38.5""W",,,,1100,,goethite,pyroclastic and epiclastic rocks,Laterizided Alkaline-Carbonatite Complexes,3.3,,16.2,,0.6,,0.44,,4.91,7.11,11.3,0.5,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#32,#32-0006,Cortex,,Minas Gerais,Brazil,"19°20'20.83""S","47°17'38.5""W",,,,1100,,goethite,pyroclastic and epiclastic rocks,Laterizided Alkaline-Carbonatite Complexes,12.2,,64.9,,1.8,,1.42,,5.32,27.45,9.5,0.3,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#32,#32-0007,Cortex,,Minas Gerais,Brazil,"19°20'20.83""S","47°17'38.5""W",,,,1100,,goethite,pyroclastic and epiclastic rocks,Laterizided Alkaline-Carbonatite Complexes,10.4,,61.4,,1.7,,1.77,,5.9,24.83,13.2,1.6,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#32,#32-0008,Cortex,,Minas Gerais,Brazil,"19°20'20.83""S","47°17'38.5""W",,,,1100,,goethite,pyroclastic and epiclastic rocks,Laterizided Alkaline-Carbonatite Complexes,10.4,,61.4,,1.7,,1.77,,5.9,24.83,13.2,1.6,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
