RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#16,#16-0001,PR0933I,09MNK,"Vila Velha, Paraná",Brazil,25°15'09.21?S,50°00'02.92?W,,,,921,,goethite,sandstones,Lateritized continental sediments,54.28,0.19,0.52,0.04,15.56,,0.56,,0.01,54.40,1.90,,2.09,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16,#16-0002,PR0933I,09MNL,"Vila Velha, Paraná",Brazil,25°15'09.21?S,50°00'02.92?W,,,,921,,goethite,sandstones,Lateritized continental sediments,58.55,0.21,0.60,0.05,20.51,,0.49,,0.01,58.69,1.53,,1.68,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16,#16-0003,PR0933D,09MOP,"Vila Velha, Paraná",Brazil,25°14'54.68?S,49°59'24.90?W,,,,927,,goethite,sandstones,Lateritized continental sediments,5.43,0.09,1.20,0.05,6.46,,0.04,,0.22,5.71,1.28,,1.41,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16,#16-0004,PR0933D,09MOQ,"Vila Velha, Paraná",Brazil,25°14'54.68?S,49°59'24.90?W,,,,927,,goethite,sandstones,Lateritized continental sediments,6.95,0.07,0.93,0.03,6.20,,0.04,,0.13,7.17,0.94,,1.03,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16,#16-0005,PR0933G2,09MPB,"Vila Velha, Paraná",Brazil,25°15'09.13?S,49°59'52.13?W,,,,911,,goethite,sandstones,Lateritized continental sediments,13.82,0.05,0.62,0.03,0.91,,0.68,,0.04,13.97,8.89,,9.78,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16,#16-0006,PR0933G2,09MPC,"Vila Velha, Paraná",Brazil,25°15'09.13?S,49°59'52.13?W,,,,911,,goethite,sandstones,Lateritized continental sediments,13.60,0.07,0.44,0.03,1.39,,0.68,,0.03,13.70,9.11,,10.02,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16,#16-0007,PR0933G_fract_base,09MPD,"Vila Velha, Paraná",Brazil,25°15'09.13?S,49°59'52.13?W,,,,911,,goethite,sandstones,Lateritized continental sediments,14.34,0.11,0.41,0.04,4.01,,1.16,,0.03,14.44,14.75,,16.23,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16,#16-0008,PR0933G_fract_base,09MPE,"Vila Velha, Paraná",Brazil,25°15'09.13?S,49°59'52.13?W,,,,911,,goethite,sandstones,Lateritized continental sediments,7.95,0.08,0.67,0.03,2.28,,0.69,,0.08,8.11,15.58,,17.14,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16,#16-0009,PR0933G_fract_top,09MPF,"Vila Velha, Paraná",Brazil,25°15'09.13?S,49°59'52.13?W,,,,911,,goethite,sandstones,Lateritized continental sediments,4.84,0.09,10.64,0.18,10.50,,1.33,,2.20,7.34,33.06,,36.37,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
#16,#16-0010,PR0933G_fract_top,09MPG,"Vila Velha, Paraná",Brazil,25°15'09.13?S,49°59'52.13?W,,,,911,,goethite,sandstones,Lateritized continental sediments,31.79,0.13,0.80,0.05,9.08,,2.16,,0.03,31.98,12.44,,13.68,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
