RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#17,#17-0001,PR0709B_1,08DBN,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,0.48,0.01,0.14,0.01,7.37,,0,0,0.29,0.51,1.56,0.05,1.72,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0002,PR0709B_2,08DBV,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,0.53,0.02,0.15,0.02,8.52,,0,0,0.28,0.56,1.55,0.05,1.71,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0003,PR0709B_3,08DBW,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,0.96,0.04,1.08,0.06,6.51,,0.01,0,1.13,1.22,1.44,0.06,1.58,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0004,PR0709supdir1_1,09PFI,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,1.1,0.04,1.56,0.06,1.91,,0.01,0,1.42,1.47,1.57,0.15,1.73,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0005,PR0709supdir1_2,09PFJ,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,2.2,0.08,2.76,0.13,1,,0.03,0,1.26,2.85,2.04,0.19,2.24,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0006,PR0709supdir1_3,09PFK,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,0.77,0.03,0.98,0.05,0.71,,0.01,0,1.28,1,1.08,0.18,1.19,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0007,PR0709supdir2_1,09PFL,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,1.66,0.05,5.96,0.13,4.16,,0.03,0,3.6,3.06,1.71,0.1,1.88,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0008,PR0709supdir2_2,09PFM,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,0.85,0.03,1.11,0.06,1.88,,0.01,0,1.31,1.11,1.03,0.18,1.13,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0009,PR0709supdir2_3,09PFN,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,1.48,0.04,2.51,0.06,3.78,,0.01,0,1.69,2.07,0.92,0.08,1.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0010,PR0709supmed1_1,09PFO,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,0.72,0.03,1.59,0.06,1.71,,0.01,0,2.22,1.09,0.95,0.17,1.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0011,PR0709supmed1_2,09PFP,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,1.34,0.05,9.08,0.18,2.5,,0.02,0,6.8,3.47,0.89,0.09,0.98,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0012,PR070supmed1_3,09PFQ,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,0.81,0.03,0.76,0.04,1.97,,0,0,0.95,0.99,0.85,0.13,0.94,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0013,PR0709supmed2_1,09PFR,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,1.82,0.04,2.09,0.06,2.29,,0.01,0,1.15,2.31,0.94,0.07,1.03,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0014,PR0709supmed2_2,09PFS,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,1.39,0.04,5.35,0.1,2.73,,0.02,0,3.84,2.65,1.11,0.07,1.22,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0015,PR0709supmed2_3,09PFT,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,1.16,0.04,3.08,0.09,2.44,,0.01,0,2.65,1.88,1.16,0.12,1.28,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0016,PR0709supmed4_1,09PGE,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,2.99,0.07,10.82,0.18,1.77,,0.03,0,3.62,5.53,0.95,0.04,1.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0017,PR0709supmed4_2,09PGF,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,10.36,0.2,13.18,0.27,1.29,,0.05,0,1.27,13.46,0.7,0.04,0.77,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0018,PR070supmed4_3,09PGG,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,7.52,0.11,1.82,0.06,0.64,,0.02,0,0.24,7.95,0.51,0.03,0.56,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
#17,#17-0019,PR0709inf1_1,09PFY,"Guarapuava, Paraná",Brazil,"25°12'45.4""S",51°44'57.7?W,,,,1103,,goethite,Basalt,Lateritized igneous rocks,3.1,0.1,9.91,0.22,1.95,,0.03,0,3.2,5.42,1.15,0.08,1.27,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
