RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#29,#29-0001,C1A110,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55263,-52.17262,,,,271,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,0.61,,17.29,,,,0.03,,28.34,4.67,1.2,,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0002,CDR#01A1_g1,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55263,-52.17262,,,,271,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,0.7,,6.3,,,,0.02,,9,2.18,1.7,,1.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0003,CDR#01A1_g4,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55263,-52.17262,,,,271,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,1.6,,5.8,,,,0.07,,3.63,2.96,4.2,,4.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0004,CDR#01A1_g6,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55263,-52.17262,,,,271,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,1.6,,8.3,,,,0.04,,5.19,3.55,2,,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0005,C1B110,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55263,-52.17262,,,,271,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,0.6,,5.16,,,,0.03,,8.6,1.81,3.3,,3.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0006,C1B111,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55263,-52.17262,,,,271,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,0.45,,1.57,,,,0.02,,3.49,0.82,3.8,,4.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0007,CDR#01B1_g2,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55263,-52.17262,,,,271,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,0.8,,6.1,,,,0.06,,7.63,2.23,5.3,,5.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0008,CDR#01B1_g3,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55263,-52.17262,,,,271,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,0.9,,7.2,,,,0.04,,8,2.59,2.9,,3.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0009,CDR#02A1_g10,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55482,-52.17158,,,,222,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,1,,5.4,,,,0.02,,5.4,2.27,1.9,,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0010,CDR#02A1_g2,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55482,-52.17158,,,,222,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,1.1,,6.8,,,,0.02,,6.18,2.7,1.1,,1.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0011,CDR#02A1_g7,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55482,-52.17158,,,,222,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,1.3,,5.5,,,,0.03,,4.23,2.59,1.8,,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0012,CDR#02A1_g8,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55482,-52.17158,,,,222,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,1.4,,4.3,,,,0.04,,3.07,2.41,3.1,,3.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
#29,#29-0013,CDR#02A1_g9,,Roura-Fourgassié-Kaw mountain,French Guiana,4.55482,-52.17158,,,,222,0,goethite,Acid to intermediate metavolcanites,Lateritized igneous rocks,1.7,,5.5,,,,0.03,,3.24,2.99,1.9,,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
