RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#09,#09-0001,Lyn-9-A1g,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,34.9,,81.9,,,,9.6,,2.35,54.15,32.4,3.2,32.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
#09,#09-0002,Lyn-9-A1h,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,41.4,,93.4,,,,10.1,,2.26,63.35,29.2,2.9,29.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
#09,#09-0003,Lyn-9-A1i,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,38.6,,90.8,,,,9.9,,2.35,59.94,30.4,3,30.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#09,#09-0004,Lyn-9-A2f,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,38.3,,86.9,,,,9.7,,2.27,58.72,30.2,3,30.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#09,#09-0005,Lyn-9-A2g,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,36.3,,102.2,,,,10.2,,2.82,60.32,31.1,3.1,31.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#09,#09-0006,Lyn-9-A2h,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,35.7,,85.2,,,,9.3,,2.39,55.72,30.7,3.1,30.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#09,#09-0007,Lyn-9-A3f,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,38.6,,98.6,,,,9.8,,2.55,61.77,29.2,2.9,29.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
#09,#09-0008,Lyn-9-A3g,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,40,,91.5,,,,10.1,,2.29,61.5,30.3,3,30.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#09,#09-0009,Lyn-9-A3h,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,40.2,,98.1,,,,11.3,,2.44,63.25,32.7,3.3,32.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#09,#09-0010,Lyn-9-A4f,,"Lynn Peak Channel Iron deposit, Hamersley Province, WA",Australia,"22°30'7.1352""S","120°5'42.9432""E",201146,7508708,51 K,480,,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,29.5,,64,,,,7.1,,2.17,44.54,29.2,2.9,29.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
