RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#26,#26-0001,14BK-11-A,,Nefza-Sejnane District,Tunisia,37°02'1.7''N,9°06'31.5''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,1.7,,0.02,,,,,,0.01,1.7,7.5,0.4,8.25,0.83,,,,,,,,,1517,30,,,,,,,,,,,,,,,,,
#26,#26-0002,14BK-11-B,,Nefza-Sejnane District,Tunisia,37°02'1.7''N,9°06'31.5''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,1.9,,0.23,,,,,,0.12,1.95,7.9,0.4,8.69,0.87,,,,,,,,,1892,38,,,,,,,,,,,,,,,,,
#26,#26-0003,14MN-TAM-A,,Nefza-Sejnane District,Tunisia,37°3'27.76''N,9°06'14.10''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,1.1,,0.02,,,,,,0.02,1.1,8.1,0.4,8.91,0.89,,,,,,,,,1039,21,,,,,,,,,,,,,,,,,
#26,#26-0004,14MN-TAM-B,,Nefza-Sejnane District,Tunisia,37°3'27.76''N,9°06'14.10''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,0.7,,0.02,,,,,,0.03,0.7,7.9,0.4,8.69,0.87,,,,,,,,,671,13,,,,,,,,,,,,,,,,,
#26,#26-0005,14MN-TAM-C,,Nefza-Sejnane District,Tunisia,37°3'27.76''N,9°06'14.10''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,1.1,,0.04,,,,,,0.04,1.11,7.7,0.4,8.47,0.85,,,,,,,,,984,20,,,,,,,,,,,,,,,,,
#26,#26-0006,14OU03-1,,Nefza-Sejnane District,Tunisia,37°00'38.8''N,8°58'9.4''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,2.3,,0.02,,,,,,0.01,2.3,0.8,0,0.88,0.09,,,,,,,,,230,5,,,,,,,,,,,,,,,,,
#26,#26-0007,14OU03-2,,Nefza-Sejnane District,Tunisia,37°00'38.8''N,8°58'9.4''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,1.9,,0.06,,,,,,0.03,1.91,0.9,0,0.99,0.1,,,,,,,,,202,4,,,,,,,,,,,,,,,,,
#26,#26-0008,14OU03-3,,Nefza-Sejnane District,Tunisia,37°00'38.8''N,8°58'9.4''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,3.8,,0.05,,,,,,0.01,3.81,0.9,0,0.99,0.1,,,,,,,,,400,8,,,,,,,,,,,,,,,,,
#26,#26-0009,13OULI-A,,Nefza-Sejnane District,Tunisia,37°00'38.8''N,8°58'9.4''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,1.8,,0.02,,,,,,0.01,1.8,0.7,0,0.77,0.08,,,,,,,,,149,3,,,,,,,,,,,,,,,,,
#26,#26-0010,13OULI-B,,Nefza-Sejnane District,Tunisia,37°00'38.8''N,8°58'9.4''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,1.9,,0.03,,,,,,0.02,1.91,0.5,0,0.55,0.06,,,,,,,,,120,2,,,,,,,,,,,,,,,,,
#26,#26-0011,13OULI-C,,Nefza-Sejnane District,Tunisia,37°00'38.8''N,8°58'9.4''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,1.8,,0.03,,,,,,0.02,1.81,0.6,0,0.66,0.07,,,,,,,,,129,3,,,,,,,,,,,,,,,,,
#26,#26-0012,140B-02-A,,Nefza-Sejnane District,Tunisia,37°01'33.0''N,9°06'13.0''E,,,,,,goethite,"LREE-U hematite breccia, rhyolite, iron hydroxide-stained sediments together with kaolinite-halloysite lenses; pelites, siltites, evaporites",Lateritized continental sediments,6.7,,1.08,,,,,,0.16,6.95,0.7,0,0.77,0.08,,,,,,,,,547,11,,,,,,,,,,,,,,,,,
