RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#08,#08-0011,N4C-140cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,1.4,goethite,Weathered banded iron formation,Lateritized BIFs,0.82,,4.74,,,,0.04,,5.78,1.93,4.22,,4.64,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0012,N4C-140cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,1.4,goethite,Weathered banded iron formation,Lateritized BIFs,0.87,,5.98,,,,0.13,,6.87,2.28,10.12,,11.13,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0013,N4C-175cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,1.75,goethite,Weathered banded iron formation,Lateritized BIFs,0.51,,2.94,,,,0.05,,5.76,1.20,8.25,,9.08,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0014,N4C-175cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,1.75,goethite,Weathered banded iron formation,Lateritized BIFs,0.82,,2.88,,,,0.07,,3.51,1.50,8.68,,9.55,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0015,N4C-200cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,2,goethite,Weathered banded iron formation,Lateritized BIFs,1.37,,5.09,,,,0.58,,3.72,2.57,41.33,,45.46,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0016,N4C-200cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,2,goethite,Weathered banded iron formation,Lateritized BIFs,2.12,,10.25,,,,0.27,,4.83,4.53,10.75,,11.83,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0017,N4C-300cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,3,goethite,Weathered banded iron formation,Lateritized BIFs,1.11,,7.60,,,,0.07,,6.85,2.90,4.74,,5.21,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0018,N4C-300cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,3,goethite,Weathered banded iron formation,Lateritized BIFs,1.43,,10.50,,,,0.09,,7.34,3.90,4.46,,4.91,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0019,N4C-475cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,4.75,goethite,Weathered banded iron formation,Lateritized BIFs,5.90,,23.04,,,,0.49,,3.91,11.31,7.98,,8.78,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0020,N4C-475cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,4.75,goethite,Weathered banded iron formation,Lateritized BIFs,5.68,,23.66,,,,0.52,,4.17,11.24,8.45,,9.30,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0021,N4C-680cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,6.8,goethite,Weathered banded iron formation,Lateritized BIFs,1.16,,2.98,,,,0.11,,2.57,1.86,11.27,,12.40,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0022,N4C-680cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,6.8,goethite,Weathered banded iron formation,Lateritized BIFs,1.79,,6.96,,,,0.31,,3.89,3.43,16.74,,18.41,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0023,N4C-955cm a YELLOW,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,9.55,goethite,Weathered banded iron formation,Lateritized BIFs,3.25,,27.92,,,,0.14,,8.59,9.81,2.54,,2.79,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0024,N4C-955cm b YELLOW,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,9.55,goethite,Weathered banded iron formation,Lateritized BIFs,3.13,,29.89,,,,0.13,,9.55,10.15,2.30,,2.53,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0025,N4C-955cm c,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,9.55,goethite,Weathered banded iron formation,Lateritized BIFs,2.58,,15.11,,,,0.06,,5.86,6.13,1.90,,2.09,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0026,N4C-955cm d,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,9.55,goethite,Weathered banded iron formation,Lateritized BIFs,2.98,,14.82,,,,0.09,,4.97,6.46,2.46,,2.71,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
