RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#08,#08-0001,N4C-2cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,0.02,goethite,Weathered banded iron formation,Lateritized BIFs,0.13,,1.99,,,,0.00,,15.31,0.60,0.73,,0.80,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0002,N4C-2cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,0.02,goethite,Weathered banded iron formation,Lateritized BIFs,0.10,,1.70,,,,0.00,,17.00,0.50,1.02,,1.12,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0003,N4C-8cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,0.08,goethite,Weathered banded iron formation,Lateritized BIFs,0.48,,1.92,,,,0.08,,4.00,0.93,15.33,,16.86,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0004,N4C-8cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,0.08,goethite,Weathered banded iron formation,Lateritized BIFs,0.41,,2.52,,,,0.03,,6.15,1.00,5.33,,5.86,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0005,N4C-30cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,0.3,goethite,Weathered banded iron formation,Lateritized BIFs,0.39,,2.67,,,,0.01,,6.85,1.02,2.23,,2.45,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0006,N4C-30cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,0.3,goethite,Weathered banded iron formation,Lateritized BIFs,0.25,,1.88,,,,0.00,,7.52,0.69,1.21,,1.33,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0007,N4C-75cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,0.75,goethite,Weathered banded iron formation,Lateritized BIFs,1.50,,4.42,,,,0.16,,2.95,2.54,11.31,,12.44,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0008,N4C-75cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,0.75,goethite,Weathered banded iron formation,Lateritized BIFs,1.36,,3.12,,,,0.09,,2.29,2.09,7.46,,8.21,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0009,N4C-100cm a,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,1,goethite,Weathered banded iron formation,Lateritized BIFs,2.25,,9.51,,,,0.27,,4.23,4.48,10.92,,12.01,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
#08,#08-0010,N4C-100cm b,,"N4C Iron Mine, Carajás",Brazil,"6°1'47.640""S","50°17'12.840""W",578916.0691,9333438.63,22M,720,1,goethite,Weathered banded iron formation,Lateritized BIFs,1.95,,8.41,,,,0.28,,4.31,3.93,12.99,,14.29,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
