RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#31,#31-0001,18FAR02AA-1,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,8.6,,0.9,,,,,,0.1,8.81,72.1,3.6,72.1,3.6,,,,,,,,,77242,1159,,,,,,,,,,,,,,,,,
#31,#31-0002,18FAR02AA-2,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,7.9,,0.3,,,,,,0.04,7.97,73.5,3.7,73.5,3.7,,,,,,,,,71171,1068,,,,,,,,,,,,,,,,,
#31,#31-0003,18FAR02AA-3,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,8.4,,0.3,,,,,,0.04,8.47,69.8,3.5,69.8,3.5,,,,,,,,,71783,1077,,,,,,,,,,,,,,,,,
#31,#31-0004,18FAR02AB-1,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,10.4,,0.3,,,,,,0.03,10.47,91.9,4.6,91.9,4.6,,,,,,,,,117195,1758,,,,,,,,,,,,,,,,,
#31,#31-0005,18FAR02AB-2,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,12.8,,0.4,,,,,,0.03,12.89,88,4.4,88,4.4,,,,,,,,,138036,2071,,,,,,,,,,,,,,,,,
#31,#31-0006,18FAR02AB-3,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,12.8,,0.4,,,,,,0.03,12.89,88.6,4.4,88.6,4.4,,,,,,,,,139125,2087,,,,,,,,,,,,,,,,,
#31,#31-0007,18FAR02AC-1,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,13,,0.2,,,,,,0.02,13.05,92.1,4.6,92.1,4.6,,,,,,,,,146249,2194,,,,,,,,,,,,,,,,,
#31,#31-0008,18FAR02AC-2,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,13.9,,0.3,,,,,,0.02,13.97,90.7,4.5,90.7,4.5,,,,,,,,,154243,2314,,,,,,,,,,,,,,,,,
#31,#31-0009,18FAR02AC-3,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,12.4,,0.8,,,,,,0.06,12.59,92.7,4.6,92.7,4.6,,,,,,,,,142102,2132,,,,,,,,,,,,,,,,,
#31,#31-0010,18TIF01A-1,,High Atlas,Morocco,"31°2'45""N","7°27'21""W",647353.4,3435705.598,29R,1674,,goethite,Laminated dolostone with chert nodules,Karst,5.5,,2.4,,,,,,0.44,6.06,77.6,3.9,77.6,3.9,,,,,,,,,57241,859,,,,,,,,,,,,,,,,,
#31,#31-0011,18TIF01A-2,,High Atlas,Morocco,"31°2'45""N","7°27'21""W",647353.4,3435705.598,29R,1674,,goethite,Laminated dolostone with chert nodules,Karst,7.3,,1.2,,,,,,0.16,7.58,80,4,80,4,,,,,,,,,73814,1107,,,,,,,,,,,,,,,,,
#31,#31-0012,18TIF01A-3,,High Atlas,Morocco,"31°2'45""N","7°27'21""W",647353.4,3435705.598,29R,1674,,goethite,Laminated dolostone with chert nodules,Karst,5.5,,0.1,,,,,,0.02,5.52,87,4.4,87,4.4,,,,,,,,,58542,878,,,,,,,,,,,,,,,,,
#31,#31-0013,18TIF01B-2,,High Atlas,Morocco,"31°2'45""N","7°27'21""W",647353.4,3435705.598,29R,1674,,goethite,Laminated dolostone with chert nodules,Karst,10.2,,0.4,,,,,,0.04,10.29,83.3,4.2,83.3,4.2,,,,,,,,,104327,1565,,,,,,,,,,,,,,,,,
#31,#31-0014,18TIF01C-1,,High Atlas,Morocco,"31°2'45""N","7°27'21""W",647353.4,3435705.598,29R,1674,,goethite,Laminated dolostone with chert nodules,Karst,8.2,,0.1,,,,,,0.01,8.22,89.4,4.5,89.4,4.5,,,,,,,,,89457,1342,,,,,,,,,,,,,,,,,
#31,#31-0015,18TIF01C-2,,High Atlas,Morocco,"31°2'45""N","7°27'21""W",647353.4,3435705.598,29R,1674,,goethite,Laminated dolostone with chert nodules,Karst,8.9,,0.4,,,,,,0.04,8.99,89.5,4.5,89.5,4.5,,,,,,,,,98022,1470,,,,,,,,,,,,,,,,,
#31,#31-0016,18TIF01C-3,,High Atlas,Morocco,"31°2'45""N","7°27'21""W",647353.4,3435705.598,29R,1674,,goethite,Laminated dolostone with chert nodules,Karst,8,,0.5,,,,,,0.06,8.12,91.4,4.6,91.4,4.6,,,,,,,,,90334,1355,,,,,,,,,,,,,,,,,
#31,#31-0017,18PL07A-1,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,11.6,,0.2,,,,,,0.02,11.65,86.1,4.3,86.1,4.3,,,,,,,,,121972,1830,,,,,,,,,,,,,,,,,
#31,#31-0018,18PL07A-2,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,11.7,,0,,,,,,0,11.7,82,4.1,82,4.1,,,,,,,,,116948,1754,,,,,,,,,,,,,,,,,
#31,#31-0019,18PL07A-3,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,11.7,,0.1,,,,,,0.01,11.72,82.7,4.1,82.7,4.1,,,,,,,,,117972,1770,,,,,,,,,,,,,,,,,
#31,#31-0020,18PL07B-1,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,10.6,,0.3,,,,,,0.03,10.67,78.8,3.9,78.8,3.9,,,,,,,,,102228,1533,,,,,,,,,,,,,,,,,
#31,#31-0021,18PL07B-2,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,11,,0.1,,,,,,0.01,11.02,84.5,4.2,84.5,4.2,,,,,,,,,113365,1700,,,,,,,,,,,,,,,,,
#31,#31-0022,18PL07B-3,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,11.8,,0.4,,,,,,0.03,11.89,83,4.2,83,4.2,,,,,,,,,119433,1792,,,,,,,,,,,,,,,,,
#31,#31-0023,18PL07C-1,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,9.5,,0.1,,,,,,0.01,9.52,83,4.2,83,4.2,,,,,,,,,98375,1476,,,,,,,,,,,,,,,,,
#31,#31-0024,18PL07C-2,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,9.9,,0.2,,,,,,0.02,9.95,83,4.2,83,4.2,,,,,,,,,99862,1498,,,,,,,,,,,,,,,,,
#31,#31-0025,18PL07C-3,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,10.1,,0.2,,,,,,0.02,10.15,84,4.2,84,4.2,,,,,,,,,103500,1552,,,,,,,,,,,,,,,,,
#31,#31-0026,18PL07D-1,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,10.9,,0.1,,,,,,0.01,10.92,81,4.1,81,4.1,,,,,,,,,107668,1615,,,,,,,,,,,,,,,,,
#31,#31-0027,18PL07D-3,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,10.6,,0.2,,,,,,0.02,10.65,79.3,4,79.3,4,,,,,,,,,102702,1541,,,,,,,,,,,,,,,,,
#31,#31-0028,18PL07E-1,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,9.9,,0.3,,,,,,0.03,9.97,84.5,4.2,84.5,4.2,,,,,,,,,102464,1537,,,,,,,,,,,,,,,,,
#31,#31-0029,18PL07E-2,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,10.6,,0.1,,,,,,0.01,10.62,81.4,4.1,81.4,4.1,,,,,,,,,105215,1578,,,,,,,,,,,,,,,,,
#31,#31-0030,18PL07E-3,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,10.5,,0.3,,,,,,0.03,10.57,80.6,4,80.6,4,,,,,,,,,103594,1554,,,,,,,,,,,,,,,,,
#31,#31-0031,18PL07F-1,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,10,,0.2,,,,,,0.02,10.05,85.9,4.3,85.9,4.3,,,,,,,,,104809,1572,,,,,,,,,,,,,,,,,
#31,#31-0032,18PL07F-2,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,9.9,,0.1,,,,,,0.01,9.92,86,4.3,86,4.3,,,,,,,,,103881,1558,,,,,,,,,,,,,,,,,
#31,#31-0033,18PL07F-3,,High Atlas,Morocco,"31°1'27""N","7°29'3""W",644682.069,3433266.803,29R,1766,,goethite,Laminated dolostone with chert nodules,Karst,11,,0.5,,,,,,0.05,11.12,82.4,4.1,82.4,4.1,,,,,,,,,111496,1672,,,,,,,,,,,,,,,,,
#31,#31-0034,18FAR02-1,,High Atlas,Morocco,"31°2'29""N","7°27'57""W",646405.838,3435199.78,29R,1711,,goethite,Laminated dolostone with chert nodules,Karst,7.6,,0.3,,,,,,0.04,7.67,63.5,3.2,63.5,3.2,,,,,,,,,59111,887,,,,,,,,,,,,,,,,,
