SampleID,SampleName,U_(ppm),±_U_(ppm),Th_(ppm),±_Th_(ppm),Sm_(ppm),±_Sm_(ppm),He_(nmol/g),±_He_(nmol/g),Th/U,eU_(ppm),U_(ng),±_U_(ng),Th_(ng),±_Th_(ng),Sm_(ng),±_Sm_(ng),He_(ncc),±_He_(ncc),He_(ncc/g),±_He_(ncc/g),U_(nmol),±_U_(nmol),Th_(nmol),±_Th_(nmol),Sm_(nmol),±_Sm_(nmol),He_(nmol),±_He_(nmol),U_(nmol/g),±_U_(nmol/g),Th_(nmol/g),±_Th_(nmol/g),Sm_(nmol/g),±_Sm_(nmol/g)
1.0001,BAH-F124-111.2-(a)-6,28.24,,0.14,,,,6.44,,0.005,28.27,,,,,,,,,,,,,,,,,,,,,,,,
1.0002,BAH-F124-111.2-(a)-7,59.67,,0.20,,,,13.54,,0.003,59.72,,,,,,,,,,,,,,,,,,,,,,,,
1.0003,BAH-F124-111.2-(b)-1,77.69,,0.02,,,,17.45,,0.000,77.69,,,,,,,,,,,,,,,,,,,,,,,,
1.0004,BAH-F124-111.2-(b)-2,96.97,,0.05,,,,22.88,,0.001,96.98,,,,,,,,,,,,,,,,,,,,,,,,
1.0005,BAH-F124-111.2-(b)-3,103.44,,0.05,,,,24.66,,0.000,103.45,,,,,,,,,,,,,,,,,,,,,,,,
1.0006,BAH-F124-111.2-(b)-4,70.29,,0.02,,,,17.02,,0.000,70.29,,,,,,,,,,,,,,,,,,,,,,,,
1.0007,BAH-F124-114-(a)-1,149.53,,0.05,,,,7.85,,0.000,149.54,,,,,,,,,,,,,,,,,,,,,,,,
1.0008,BAH-F124-114-(a)-2,152.79,,0.03,,,,8.33,,0.000,152.80,,,,,,,,,,,,,,,,,,,,,,,,
1.0009,BAH-F124-114-(a)-3,120.30,,0.00,,,,7.63,,0.000,120.30,,,,,,,,,,,,,,,,,,,,,,,,
1.001,BAH-F124-114-(a)-4,156.17,,0.00,,,,8.56,,0.000,156.17,,,,,,,,,,,,,,,,,,,,,,,,
1.0011,BAH-F124-114-(a)-5,154.71,,0.01,,,,8.31,,0.000,154.71,,,,,,,,,,,,,,,,,,,,,,,,
1.0012,BAH-F124-114-(a)-6,162.31,,,,,,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0013,BAH-F124-114-(a)-7,155.80,,,,,,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0014,BAH-F124-114-(a)-8,15.79,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0015,BAH-F124-114-(a)-9,160.46,,,,,,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0016,BAH-F124-114-(b)-1,325.63,,0.03,,,,18.02,,0.000,325.64,,,,,,,,,,,,,,,,,,,,,,,,
1.0017,BAH-F124-114-(b)-2,368.81,,0.05,,,,21.47,,0.000,368.82,,,,,,,,,,,,,,,,,,,,,,,,
1.0018,BAH-F124-114-(b)-3,329.83,,0.02,,,,19.64,,0.000,329.83,,,,,,,,,,,,,,,,,,,,,,,,
1.0019,BAH-F124-114-(b)-4,288.13,,0.01,,,,17.80,,0.000,288.13,,,,,,,,,,,,,,,,,,,,,,,,
1.002,BAH-F124-114-(b)-5,250.95,,0.02,,,,16.18,,0.000,250.95,,,,,,,,,,,,,,,,,,,,,,,,
1.0021,BAH-F124-114-(c)-1,312.68,,0.03,,,,18.08,,0.000,312.69,,,,,,,,,,,,,,,,,,,,,,,,
1.0022,BAH-F124-114-(c)-2,265.29,,0.06,,,,15.60,,0.000,265.30,,,,,,,,,,,,,,,,,,,,,,,,
1.0023,BAH-F124-114-(c)-3,246.92,,,,,,15.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0024,BAH-F124-114-(c)-4,260.23,,0.03,,,,19.67,,0.000,260.24,,,,,,,,,,,,,,,,,,,,,,,,
1.0025,BAH-F124-114-(c)-5,280.50,,0.01,,,,15.51,,0.000,280.50,,,,,,,,,,,,,,,,,,,,,,,,
1.0026,BAH-F124-114-(c)-6,269.60,,0.03,,,,15.05,,0.000,269.61,,,,,,,,,,,,,,,,,,,,,,,,
1.0027,BAH-F124-114-(c)-7,282.26,,0.02,,,,16.41,,0.000,282.26,,,,,,,,,,,,,,,,,,,,,,,,
1.0028,BAH-F124-114-(c)-8,272.72,,0.02,,,,16.00,,0.000,272.72,,,,,,,,,,,,,,,,,,,,,,,,
1.0029,BAH-F124-114-(c)-9,265.23,,0.02,,,,12.93,,0.000,265.23,,,,,,,,,,,,,,,,,,,,,,,,
1.003,BAH-F124-118,29.39,,,,,,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0031,BAH-F124-123,29.00,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0032,B01-009-(a),0.76,,3.43,,,,0.52,,4.513,1.57,,,,,,,,,,,,,,,,,,,,,,,,
1.0033,B01-009-(c),0.26,,2.52,,,,0.17,,9.692,0.85,,,,,,,,,,,,,,,,,,,,,,,,
1.0034,B01-009-(e),0.65,,1.42,,,,0.14,,2.185,0.98,,,,,,,,,,,,,,,,,,,,,,,,
1.0035,B01-009-(g),0.36,,2.00,,,,0.04,,5.556,0.83,,,,,,,,,,,,,,,,,,,,,,,,
1.0036,MI-2000-09,4.27,,0.08,,,,0.36,,0.019,4.29,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0001,Yan02-01-A(a),,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,
2.0002,Yan02-01-B(b),,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,
2.0003,Yan02-01-D1(c) ,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
2.0004,Yan02-01-D1(d) ,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
2.0005,Yan02-01-D2(c) ,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
2.0006,Yan02-01-D2(d) ,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
2.0007,Yan02-02-1(b),,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,
2.0008,Yan02-02-1(a),,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,
2.0009,Yan02-03(a),,,,,,,,,2.10,,,,,,,,,,,,,,,,,,,,,,,,,
2.001,Yan02-03(b),,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,
2.0011,Yan02-08-4(a),,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,
2.0012,Yan02-08-4(b),,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
2.0013,Yan02-04-A(a),,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
2.0014,Yan02-04-A(b),,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,
2.0015,Yan02-05(a),,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
2.0016,Yan02-05(b),,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,
2.0017,Yan02-06(a),,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,
2.0018,Yan02-06(b),,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,
2.0019,Yan02-09-A(a),,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,
2.002,Yan02-09-A(b),,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0001,Lynp02-08C(a),2.91,,2.89,,,,0.07,,0.99,3.59,,,,,,,,,,,,,,,,,,,,,,,,
3.0002,Lynp02-09-A1(a),5.56,,15.63,,,,1.42,,2.81,9.23,,,,,,,,,,,,,,,,,,,,,,,,
3.0003,Lynp02-09-A2(a),5.43,,13.94,,,,1.50,,2.57,8.71,,,,,,,,,,,,,,,,,,,,,,,,
3.0004,Lynp02-09-A3(a),6.15,,16.03,,,,2.00,,2.61,9.92,,,,,,,,,,,,,,,,,,,,,,,,
3.0005,Lynp02-09-A5(a),2.00,,2.36,,,,0.38,,1.18,2.55,,,,,,,,,,,,,,,,,,,,,,,,
3.0006,Lynp02-09-A5(b),2.59,,3.87,,,,0.46,,1.49,3.50,,,,,,,,,,,,,,,,,,,,,,,,
3.0007,MAR02-01-W(a),1.93,,15.26,,,,0.56,,7.91,5.52,,,,,,,,,,,,,,,,,,,,,,,,
3.0008,MAR02-01-W(b),1.21,,4.87,,,,0.55,,4.02,2.35,,,,,,,,,,,,,,,,,,,,,,,,
3.0009,MAR02-02-A5(a),0.24,,0.19,,,,0.10,,0.79,0.28,,,,,,,,,,,,,,,,,,,,,,,,
3.001,MAR02-02-A5(b),0.50,,0.02,,,,0.10,,0.04,0.50,,,,,,,,,,,,,,,,,,,,,,,,
3.0011,MtWPS2-D1(a),1.94,,0.26,,,,0.32,,0.13,2.00,,,,,,,,,,,,,,,,,,,,,,,,
3.0012,MtWPS2-D1(b),2.34,,0.63,,,,0.44,,0.27,2.49,,,,,,,,,,,,,,,,,,,,,,,,
3.0013,Rhr02-02-D2(a),5.68,,0.04,,,,0.37,,0.01,5.69,,,,,,,,,,,,,,,,,,,,,,,,
3.0014,Rhr02-02-D2(b),12.32,,0.07,,,,0.49,,0.01,12.34,,,,,,,,,,,,,,,,,,,,,,,,
3.0015,Stop1-6-A1(b),3.14,,0.06,,,,0.09,,0.02,3.15,,,,,,,,,,,,,,,,,,,,,,,,
3.0016,Stop1-6-A2(a),3.00,,0.11,,,,0.08,,0.04,3.03,,,,,,,,,,,,,,,,,,,,,,,,
3.0017,Stop1-6-A2(b),3.19,,0.05,,,,0.10,,0.02,3.20,,,,,,,,,,,,,,,,,,,,,,,,
3.0018,Stop1-6-A3(a),2.19,,0.01,,,,0.29,,0.00,2.19,,,,,,,,,,,,,,,,,,,,,,,,
3.0019,Stop1-6-A5(a),3.37,,0.06,,,,0.08,,0.02,3.38,,,,,,,,,,,,,,,,,,,,,,,,
3.002,Stop1-6-A5(b),3.44,,0.05,,,,0.10,,0.01,3.45,,,,,,,,,,,,,,,,,,,,,,,,
3.0021,Stop1-6-A6(a),1.67,,0.01,,,,0.25,,0.01,1.67,,,,,,,,,,,,,,,,,,,,,,,,
3.0022,Stop1-6-A6(b),1.72,,0.10,,,,0.23,,0.06,1.74,,,,,,,,,,,,,,,,,,,,,,,,
3.0023,Stop1-6-A7(a),1.54,,0.03,,,,0.23,,0.02,1.55,,,,,,,,,,,,,,,,,,,,,,,,
3.0024,Stop1-6-A7(b),1.62,,0.01,,,,0.24,,0.01,1.62,,,,,,,,,,,,,,,,,,,,,,,,
3.0025,Stop1-6-A7(1)(a),1.43,,0.01,,,,0.20,,0.01,1.43,,,,,,,,,,,,,,,,,,,,,,,,
3.0026,Stop1-6-A7(1)(b),1.58,,0.02,,,,0.22,,0.01,1.58,,,,,,,,,,,,,,,,,,,,,,,,
3.0027,Stop1-6-A7(2)(a),3.15,,0.01,,,,0.08,,0.00,3.15,,,,,,,,,,,,,,,,,,,,,,,,
3.0028,Stop1-6-A7(2)(b),3.13,,0.04,,,,0.08,,0.01,3.14,,,,,,,,,,,,,,,,,,,,,,,,
3.0029,Stop1-6-A8(a),3.32,,0.02,,,,0.11,,0.01,3.32,,,,,,,,,,,,,,,,,,,,,,,,
3.003,Stop1-6-A8(b),3.40,,0.02,,,,0.08,,0.01,3.40,,,,,,,,,,,,,,,,,,,,,,,,
3.0031,Stop1-6-A9(a),2.96,,0.06,,,,0.08,,0.02,2.97,,,,,,,,,,,,,,,,,,,,,,,,
3.0032,Stop1-6-A9(b),3.22,,0.03,,,,0.08,,0.01,3.23,,,,,,,,,,,,,,,,,,,,,,,,
3.0033,Met06-A1,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
3.0034,Met06-A2,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
3.0035,Met06-A3,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
3.0036,Met06-B1,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
3.0037,Met06-B2,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,
3.0038,Met06-B3,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
3.0039,Met06-C1,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
3.004,Met06-C2,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
3.0041,Met06-D,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
3.0042,Met06-E,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
3.0043,Met06-F,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
3.0044,Met06-G,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
3.0045,Stop1-6-B1(a),2.91,,0.29,,,,0.05,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,
3.0046,Stop1-6-B1(b),3.21,,0.31,,,,0.06,,,3.28,,,,,,,,,,,,,,,,,,,,,,,,
3.0047,Stop1-6-B2(a),0.47,,0.02,,,,0.02,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,
3.0048,Stop1-6-B2(b),1.23,,0.25,,,,0.25,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,
3.0049,Stop1-6-D1(a),3.11,,0.21,,,,0.05,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,
3.005,Stop1-6-D1(b),3.33,,0.11,,,,0.08,,,3.36,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0001,06BR064JOA-P1 (b),18.39,,214.08,,,,0.45,,11.64,68.70,,,,,,,,,,,,,,,,,,,,,,,,
4.0002,06BR064JOA-P2 (b),29.33,,369.64,,,,1.88,,12.60,116.19,,,,,,,,,,,,,,,,,,,,,,,,
4.0003,06BR064JOA-P2 (n),32.60,,641.45,,,,5.86,,19.68,183.34,,,,,,,,,,,,,,,,,,,,,,,,
4.0004,06BR064JOA-P5 (b),41.16,,398.52,,,,6.69,,9.68,134.82,,,,,,,,,,,,,,,,,,,,,,,,
4.0005,06BR078PON-P1 (b),10.17,,532.74,,,,7.84,,52.37,135.37,,,,,,,,,,,,,,,,,,,,,,,,
4.0006,06BR078PON-P1 (m),17.05,,766.17,,,,11.96,,44.93,197.10,,,,,,,,,,,,,,,,,,,,,,,,
4.0007,06BR078PON-P1 (n),7.55,,198.18,,,,5.01,,26.26,54.12,,,,,,,,,,,,,,,,,,,,,,,,
4.0008,06BR078PON-P2 (b),11.52,,487.70,,,,11.39,,42.35,126.12,,,,,,,,,,,,,,,,,,,,,,,,
4.0009,06BR078PON-P2 (m),10.75,,392.70,,,,6.50,,36.52,103.04,,,,,,,,,,,,,,,,,,,,,,,,
4.001,06BR078PON-P3 (b),2.18,,207.77,,,,11.25,,95.30,51.01,,,,,,,,,,,,,,,,,,,,,,,,
4.0011,06BR078PON-P3 (m),10.59,,410.07,,,,8.82,,38.74,106.95,,,,,,,,,,,,,,,,,,,,,,,,
4.0012,06BR078PON-P3 (n),12.22,,546.32,,,,11.85,,44.72,140.60,,,,,,,,,,,,,,,,,,,,,,,,
4.0013,06BR078PON-P4 - 1(b),7.52,,344.94,,,,6.45,,45.89,88.58,,,,,,,,,,,,,,,,,,,,,,,,
4.0014,06BR078PON-P4 - 2,5.83,,215.92,,,,3.43,,37.06,56.57,,,,,,,,,,,,,,,,,,,,,,,,
4.0015,06BR078PON-P4 - 3,19.53,,666.46,,,,11.58,,34.13,176.14,,,,,,,,,,,,,,,,,,,,,,,,
4.0016,06BR078PON-P4 - 4(n),14.10,,510.75,,,,9.52,,36.24,134.12,,,,,,,,,,,,,,,,,,,,,,,,
4.0017,06BR078PON-P5 (b),12.34,,566.99,,,,11.02,,45.94,145.58,,,,,,,,,,,,,,,,,,,,,,,,
4.0018,06BR078PON-P5 (m),14.74,,591.88,,,,8.32,,40.14,153.83,,,,,,,,,,,,,,,,,,,,,,,,
4.0019,06BR078PON-P5 (n),17.09,,579.09,,,,10.16,,33.88,153.18,,,,,,,,,,,,,,,,,,,,,,,,
4.002,06BR078PON-P6 (b),7.39,,287.75,,,,5.96,,38.94,75.01,,,,,,,,,,,,,,,,,,,,,,,,
4.0021,06BR078PON-P6 (m),7.72,,321.70,,,,7.57,,41.66,83.32,,,,,,,,,,,,,,,,,,,,,,,,
4.0022,06BR078PON-P6 (n),7.69,,382.96,,,,6.84,,49.79,97.69,,,,,,,,,,,,,,,,,,,,,,,,
4.0023,06BR080PON-P1 (b),6.27,,107.93,,,,1.51,,17.20,31.64,,,,,,,,,,,,,,,,,,,,,,,,
4.0024,06BR080PON-P1 (m),20.47,,76.46,,,,1.81,,3.74,38.43,,,,,,,,,,,,,,,,,,,,,,,,
4.0025,06BR080PON-P1 (n),28.56,,65.75,,,,2.50,,2.30,44.01,,,,,,,,,,,,,,,,,,,,,,,,
4.0026,06BR080PON-P4 (b),11.87,,106.46,,,,1.85,,8.97,36.89,,,,,,,,,,,,,,,,,,,,,,,,
4.0027,06BR080PON-P4(m),11.71,,68.22,,,,1.34,,5.83,27.74,,,,,,,,,,,,,,,,,,,,,,,,
4.0028,06BR080PON-P4 (m),16.63,,94.92,,,,1.74,,5.71,38.94,,,,,,,,,,,,,,,,,,,,,,,,
4.0029,06BR080PON-P5 - 1(b),7.57,,137.27,,,,1.88,,18.14,39.83,,,,,,,,,,,,,,,,,,,,,,,,
4.003,06BR080PON-P5 - 2,10.24,,106.36,,,,1.63,,10.39,35.23,,,,,,,,,,,,,,,,,,,,,,,,
4.0031,06BR080PON-P5 - 3,21.58,,76.52,,,,2.13,,3.55,39.56,,,,,,,,,,,,,,,,,,,,,,,,
4.0032,06BR080PON-P5 - 4(n),34.72,,32.18,,,,4.99,,0.93,42.29,,,,,,,,,,,,,,,,,,,,,,,,
4.0033,06BR080PON-P6 (b),7.11,,135.39,,,,3.01,,19.03,38.93,,,,,,,,,,,,,,,,,,,,,,,,
4.0034,06BR080PON-P6 (m),22.40,,89.78,,,,2.38,,4.01,43.50,,,,,,,,,,,,,,,,,,,,,,,,
4.0035,06BR080PON-P6 (n),21.28,,63.78,,,,1.87,,3.00,36.27,,,,,,,,,,,,,,,,,,,,,,,,
4.0036,06BR080PON-P7(B),5.87,,90.43,,,,1.50,,15.41,27.12,,,,,,,,,,,,,,,,,,,,,,,,
4.0037,06BR080PON-P7 (b),8.81,,103.67,,,,1.91,,11.77,33.17,,,,,,,,,,,,,,,,,,,,,,,,
4.0038,06BR080PON-P7 (m),17.06,,76.76,,,,2.05,,4.50,35.10,,,,,,,,,,,,,,,,,,,,,,,,
4.0039,06BR080PON-P7 (n),28.99,,70.69,,,,3.12,,2.44,45.60,,,,,,,,,,,,,,,,,,,,,,,,
4.004,06BR080PON-P9(B),4.15,,103.80,,,,1.16,,25.01,28.54,,,,,,,,,,,,,,,,,,,,,,,,
4.0041,06BR080PON-P9 (b),6.42,,156.06,,,,1.99,,24.31,43.09,,,,,,,,,,,,,,,,,,,,,,,,
4.0042,06BR080PON-P9 (m),26.80,,90.00,,,,3.50,,3.36,47.95,,,,,,,,,,,,,,,,,,,,,,,,
4.0043,06BR080PON-P9(N),44.55,,61.78,,,,5.41,,1.39,59.07,,,,,,,,,,,,,,,,,,,,,,,,
4.0044,06BR080PON-P9 (n),24.30,,97.33,,,,2.76,,4.01,47.17,,,,,,,,,,,,,,,,,,,,,,,,
4.0045,06BR080PON-P10 - 1(b),8.62,,109.00,,,,2.33,,12.64,34.24,,,,,,,,,,,,,,,,,,,,,,,,
4.0046,06BR080PON-P10 - 2,20.01,,65.57,,,,2.24,,3.28,35.42,,,,,,,,,,,,,,,,,,,,,,,,
4.0047,06BR080PON-P10 - 3,479.81,,580.11,,,,58.02,,1.21,616.13,,,,,,,,,,,,,,,,,,,,,,,,
4.0048,06BR080PON-P10-4(N),9.93,,17.10,,,,1.35,,1.72,13.95,,,,,,,,,,,,,,,,,,,,,,,,
4.0049,06BR080PON-P10 - 4(n),21.44,,33.04,,,,3.62,,1.54,29.21,,,,,,,,,,,,,,,,,,,,,,,,
4.005,06BR082PON-P1 (b),8.04,,597.26,,,,7.85,,74.32,148.39,,,,,,,,,,,,,,,,,,,,,,,,
4.0051,06BR082PON-P1 (m),9.25,,696.57,,,,8.25,,75.27,172.95,,,,,,,,,,,,,,,,,,,,,,,,
4.0052,06BR082PON-P3(B),9.00,,23.31,,,,1.38,,2.59,14.48,,,,,,,,,,,,,,,,,,,,,,,,
4.0053,06BR082PON-P3 (b),8.75,,618.32,,,,10.62,,70.65,154.06,,,,,,,,,,,,,,,,,,,,,,,,
4.0054,06BR082PON-P4 (b),8.37,,486.12,,,,6.57,,58.05,122.61,,,,,,,,,,,,,,,,,,,,,,,,
4.0055,06BR082PON-P5 (b),13.07,,667.24,,,,9.91,,51.03,169.88,,,,,,,,,,,,,,,,,,,,,,,,
4.0056,06BR082PON-P5 (m),13.54,,603.40,,,,9.52,,44.57,155.34,,,,,,,,,,,,,,,,,,,,,,,,
4.0057,06BR082PON-P6 (b),8.44,,578.91,,,,11.55,,68.59,144.48,,,,,,,,,,,,,,,,,,,,,,,,
4.0058,06BR082PON-P6 (m),7.72,,484.12,,,,8.83,,62.71,121.49,,,,,,,,,,,,,,,,,,,,,,,,
4.0059,06BR082PON-P7 (b),7.07,,544.92,,,,8.40,,77.03,135.13,,,,,,,,,,,,,,,,,,,,,,,,
4.006,06BR082PON-P7 (m),6.32,,467.34,,,,7.20,,73.98,116.14,,,,,,,,,,,,,,,,,,,,,,,,
4.0061,LGSLG11-P1-1(b),38.16,,93.99,,,,12.57,,2.46,60.25,,,,,,,,,,,,,,,,,,,,,,,,
4.0062,LGSLG11-P1 - 2,18.59,,156.63,,,,5.50,,8.42,55.40,,,,,,,,,,,,,,,,,,,,,,,,
4.0063,LGSLG11-P1 - 3,65.73,,77.67,,,,9.41,,1.18,83.99,,,,,,,,,,,,,,,,,,,,,,,,
4.0064,LGSLG11-P1 - 4,76.47,,80.33,,,,10.91,,1.05,95.34,,,,,,,,,,,,,,,,,,,,,,,,
4.0065,LGSLG11-P1 - 5,19.53,,91.40,,,,5.88,,4.68,41.00,,,,,,,,,,,,,,,,,,,,,,,,
4.0066,LGSLG11-P2 - 1(b),69.87,,185.79,,,,14.74,,2.66,113.53,,,,,,,,,,,,,,,,,,,,,,,,
4.0067,LGSLG11-P2 - 2,15.31,,111.74,,,,3.59,,7.30,41.57,,,,,,,,,,,,,,,,,,,,,,,,
4.0068,LGSLG11-P2 - 3,20.35,,141.38,,,,4.83,,6.95,53.58,,,,,,,,,,,,,,,,,,,,,,,,
4.0069,LGSLG11-P2 - 4,23.28,,102.91,,,,5.58,,4.42,47.46,,,,,,,,,,,,,,,,,,,,,,,,
4.007,LGSLG11-P2 - 5(n),17.84,,106.86,,,,5.18,,5.99,42.95,,,,,,,,,,,,,,,,,,,,,,,,
4.0071,LGSLG11-P3 - 1 (b),15.15,,85.58,,,,4.89,,5.65,35.26,,,,,,,,,,,,,,,,,,,,,,,,
4.0072,LGSLG11-P3 - 2,14.46,,83.60,,,,5.10,,5.78,34.11,,,,,,,,,,,,,,,,,,,,,,,,
4.0073,LGSLG11-P3 - 3,19.05,,128.11,,,,4.89,,6.72,49.15,,,,,,,,,,,,,,,,,,,,,,,,
4.0074,LGSLG11-P3 - 4(n),13.06,,143.71,,,,4.36,,11.00,46.83,,,,,,,,,,,,,,,,,,,,,,,,
4.0075,LGSLG11-P4 - 1(b),20.79,,60.90,,,,2.19,,2.93,35.10,,,,,,,,,,,,,,,,,,,,,,,,
4.0076,LGSLG11-P4 - 2,32.93,,73.30,,,,5.14,,2.23,50.15,,,,,,,,,,,,,,,,,,,,,,,,
4.0077,LGSLG11-P4 - 3,14.18,,47.38,,,,4.40,,3.34,25.31,,,,,,,,,,,,,,,,,,,,,,,,
4.0078,LGSLG11-P4 - 4(n),16.68,,77.03,,,,4.24,,4.62,34.79,,,,,,,,,,,,,,,,,,,,,,,,
4.0079,LGSLG10 - 1(cimento),21.69,,42.74,,,,3.05,,1.97,31.73,,,,,,,,,,,,,,,,,,,,,,,,
4.008,LGSLG10 - 2(pisolito),15.86,,110.94,,,,7.94,,6.99,41.93,,,,,,,,,,,,,,,,,,,,,,,,
4.0081,LGSLG11 - 1(cimento),29.76,,80.90,,,,4.33,,2.72,48.77,,,,,,,,,,,,,,,,,,,,,,,,
4.0082,LGSLG11 - 2(pisolito),50.28,,63.41,,,,7.33,,1.26,65.18,,,,,,,,,,,,,,,,,,,,,,,,
4.0083,LG-04-01,,,,,,,,,5.30,,,,,,,,,,,,,,,,,,,,,,,,,
4.0084,LG-04-02,,,,,,,,,5.60,,,,,,,,,,,,,,,,,,,,,,,,,
4.0085,LG-04-04a,,,,,,,,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,
4.0086,LG-04-04b,,,,,,,,,3.20,,,,,,,,,,,,,,,,,,,,,,,,,
4.0087,LS-01,,,,,,,,,3.80,,,,,,,,,,,,,,,,,,,,,,,,,
4.0088,LS-02a,,,,,,,,,7.78,,,,,,,,,,,,,,,,,,,,,,,,,
4.0089,LS-02a2,,,,,,,,,5.17,,,,,,,,,,,,,,,,,,,,,,,,,
4.009,LS-02b,,,,,,,,,3.90,,,,,,,,,,,,,,,,,,,,,,,,,
4.0091,LS-02c,,,,,,,,,2.70,,,,,,,,,,,,,,,,,,,,,,,,,
4.0092,LS-02d,,,,,,,,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,
4.0093,LS-02e,,,,,,,,,5.80,,,,,,,,,,,,,,,,,,,,,,,,,
4.0094,LS-02f,,,,,,,,,1.30,,,,,,,,,,,,,,,,,,,,,,,,,
4.0095,LS-02g,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,
4.0096,LS-02h,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,
4.0097,LS-02i,,,,,,,,,7.90,,,,,,,,,,,,,,,,,,,,,,,,,
4.0098,RIOFOGO-04 -01 (pisolito),10.55,,166.14,,,,3.16,,15.75,49.59,,,,,,,,,,,,,,,,,,,,,,,,
4.0099,RF-04-01,,,,,,,,,11.40,,,,,,,,,,,,,,,,,,,,,,,,,
4.01,RF-04-02,,,,,,,,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,
4.0101,GA-04-03,,,,,,,,,4.20,,,,,,,,,,,,,,,,,,,,,,,,,
4.0102,GA-04-04,,,,,,,,,3.60,,,,,,,,,,,,,,,,,,,,,,,,,
4.0103,GARCA-0404 (P),26.39,,79.36,,,,2.87,,3.01,45.04,,,,,,,,,,,,,,,,,,,,,,,,
4.0104,GA-04-05,,,,,,,,,3.80,,,,,,,,,,,,,,,,,,,,,,,,,
4.0105,GARCA04-05-(P),73.75,,73.87,,,,5.06,,1.00,91.11,,,,,,,,,,,,,,,,,,,,,,,,
4.0106,GARCA-0405(P),84.67,,93.05,,,,6.99,,1.10,106.53,,,,,,,,,,,,,,,,,,,,,,,,
4.0107,GA-04-06,,,,,,,,,6.30,,,,,,,,,,,,,,,,,,,,,,,,,
4.0108,GARCA-0406(P),7.93,,102.91,,,,2.23,,12.98,32.12,,,,,,,,,,,,,,,,,,,,,,,,
4.0109,06BR091LAJ-P1 (b),35.30,,85.30,,,,0.68,,2.42,55.35,,,,,,,,,,,,,,,,,,,,,,,,
4.011,06BR091LAJ-P3 (b),14.54,,81.40,,,,4.71,,5.60,33.67,,,,,,,,,,,,,,,,,,,,,,,,
