SampleID,SampleName,U_(ppm),±_U_(ppm),Th_(ppm),±_Th_(ppm),Sm_(ppm),±_Sm_(ppm),He_(nmol/g),±_He_(nmol/g),Th/U,eU_(ppm),U_(ng),±_U_(ng),Th_(ng),±_Th_(ng),Sm_(ng),±_Sm_(ng),He_(ncc),±_He_(ncc),He_(ncc/g),±_He_(ncc/g),U_(nmol),±_U_(nmol),Th_(nmol),±_Th_(nmol),Sm_(nmol),±_Sm_(nmol),He_(nmol),±_He_(nmol),U_(nmol/g),±_U_(nmol/g),Th_(nmol/g),±_Th_(nmol/g),Sm_(nmol/g),±_Sm_(nmol/g)
14.0115,Pic-06-21-1G-3b,0.84,0.02,3.01,0.05,,,0.22,0.01,3.60,1.54,,,,,,,,,,,,,,,,,,,,,,,,
14.0116,Pic-06-21-1G-3c,2.51,0.07,6.85,0.14,,,0.53,0.01,2.73,4.12,,,,,,,,,,,,,,,,,,,,,,,,
14.0117,Pic-06-21-1G-4a,2.22,0.06,7.54,0.14,,,0.41,0.01,3.40,3.99,,,,,,,,,,,,,,,,,,,,,,,,
14.0118,Pic-06-21-1G-4b,2.68,0.06,9.24,0.15,,,0.56,0.01,3.45,4.85,,,,,,,,,,,,,,,,,,,,,,,,
14.0119,Pic-06-21-2G-1,0.11,0.01,0.30,0.03,,,0.02,0.00,2.64,0.18,,,,,,,,,,,,,,,,,,,,,,,,
14.012,Pic-06-21-2G-2,0.13,0.01,0.27,0.01,,,0.02,0.00,2.01,0.19,,,,,,,,,,,,,,,,,,,,,,,,
14.0121,Pic-06-21-2G-3,0.11,0.01,0.35,0.02,,,0.03,0.00,3.17,0.19,,,,,,,,,,,,,,,,,,,,,,,,
14.0122,Pic-06-21-2G-4,0.21,0.01,0.75,0.04,,,0.02,0.00,3.61,0.39,,,,,,,,,,,,,,,,,,,,,,,,
14.0123,Pic-06-21-2G-5,0.09,0.01,0.05,0.02,,,0.02,0.00,0.61,0.10,,,,,,,,,,,,,,,,,,,,,,,,
14.0124,Pic-06-21-2G-6,0.39,0.01,0.92,0.03,,,0.06,0.00,2.34,0.61,,,,,,,,,,,,,,,,,,,,,,,,
14.0125,Pic-06-21-2G-7,0.19,0.01,0.57,0.02,,,0.03,0.00,2.99,0.33,,,,,,,,,,,,,,,,,,,,,,,,
14.0126,Pic-06-21-2G-8,0.21,0.01,0.95,0.03,,,0.04,0.00,4.55,0.43,,,,,,,,,,,,,,,,,,,,,,,,
14.0127,Pic-06-21-2G-9,0.10,0.00,0.07,0.01,,,0.03,0.00,0.72,0.11,,,,,,,,,,,,,,,,,,,,,,,,
14.0128,Pic-06-21-2G-10,0.10,0.01,0.05,0.04,,,0.01,0.00,0.52,0.12,,,,,,,,,,,,,,,,,,,,,,,,
14.0129,Pic-06-22/5,0.41,0.02,0.10,0.03,,,0.12,0.01,0.24,0.43,,,,,,,,,,,,,,,,,,,,,,,,
14.013,Pic-06-22/5a,0.42,0.01,0.04,0.02,,,0.07,0.00,0.10,0.43,,,,,,,,,,,,,,,,,,,,,,,,
14.0131,Pic-06-22/5b,0.42,0.02,0.04,0.02,,,0.06,0.00,0.09,0.42,,,,,,,,,,,,,,,,,,,,,,,,
14.0132,Pic-06-22/5c,0.40,0.01,0.04,0.01,,,0.08,0.01,0.09,0.40,,,,,,,,,,,,,,,,,,,,,,,,
14.0133,Pic-06-24/1,4.56,0.08,3.39,0.07,,,0.43,0.01,0.74,5.36,,,,,,,,,,,,,,,,,,,,,,,,
14.0134,Pic-06-24/2,4.43,0.08,0.84,0.04,,,0.17,0.01,0.19,4.63,,,,,,,,,,,,,,,,,,,,,,,,
14.0135,Pic-06-24/3**,7.55,0.13,5.23,0.09,,,0.27,0.01,0.69,8.78,,,,,,,,,,,,,,,,,,,,,,,,
14.0136,Pic-06-24/4,4.53,0.08,0.77,0.04,,,0.27,0.01,0.17,4.71,,,,,,,,,,,,,,,,,,,,,,,,
14.0137,Pic-06-24/5,2.24,0.05,0.52,0.04,,,0.27,0.01,0.23,2.36,,,,,,,,,,,,,,,,,,,,,,,,
14.0138,Pic-06-25A/1,13.32,0.23,5.49,0.09,,,0.73,0.02,0.41,14.61,,,,,,,,,,,,,,,,,,,,,,,,
14.0139,Pic-06-25A/2,12.55,0.21,2.54,0.06,,,0.55,0.02,0.20,13.15,,,,,,,,,,,,,,,,,,,,,,,,
14.014,Pic-06-25A/4,5.56,0.10,1.22,0.04,,,0.20,0.01,0.22,5.85,,,,,,,,,,,,,,,,,,,,,,,,
14.0141,Pic-06-25A/5,11.71,0.20,2.69,0.06,,,0.50,0.02,0.23,12.34,,,,,,,,,,,,,,,,,,,,,,,,
14.0142,Pic-06-25A/6,15.88,0.27,2.50,0.06,,,0.64,0.02,0.16,16.47,,,,,,,,,,,,,,,,,,,,,,,,
14.0143,Pic-06-25A/8,7.88,0.14,3.22,0.07,,,0.41,0.01,0.41,8.64,,,,,,,,,,,,,,,,,,,,,,,,
14.0144,Pic-06-25B/2,11.23,0.19,1.93,0.05,,,0.71,0.02,0.17,11.68,,,,,,,,,,,,,,,,,,,,,,,,
14.0145,Pic-06-25B/4,12.54,0.21,1.12,0.04,,,0.41,0.01,0.09,12.80,,,,,,,,,,,,,,,,,,,,,,,,
14.0146,Pic-06-25C/1,10.99,0.19,3.98,0.07,,,0.61,0.02,0.36,11.93,,,,,,,,,,,,,,,,,,,,,,,,
14.0147,Pic-06-25C/2,15.99,0.27,7.53,0.11,,,1.31,0.04,0.47,17.76,,,,,,,,,,,,,,,,,,,,,,,,
14.0148,Pic-06-25C/3,14.37,0.24,4.69,0.08,,,0.56,0.02,0.33,15.47,,,,,,,,,,,,,,,,,,,,,,,,
14.0149,Pic-06-25C/4,7.15,0.13,3.97,0.07,,,0.46,0.02,0.56,8.08,,,,,,,,,,,,,,,,,,,,,,,,
14.015,Pic-06-25C/6,4.18,0.08,4.10,0.07,,,0.34,0.01,0.98,5.14,,,,,,,,,,,,,,,,,,,,,,,,
14.0151,Pic-06-25C/7,10.52,0.18,4.36,0.08,,,0.69,0.02,0.41,11.54,,,,,,,,,,,,,,,,,,,,,,,,
14.0152,Pic-06-26A/1,6.75,0.12,10.31,0.14,,,0.38,0.01,1.53,9.17,,,,,,,,,,,,,,,,,,,,,,,,
14.0153,Pic-06-26A/2,4.22,0.08,4.97,0.08,,,0.06,0.00,1.18,5.39,,,,,,,,,,,,,,,,,,,,,,,,
14.0154,Pic-06-26A/3,2.26,0.05,2.16,0.05,,,0.06,0.00,0.96,2.77,,,,,,,,,,,,,,,,,,,,,,,,
14.0155,Pic-06-26B/3,2.27,0.05,10.73,0.14,,,0.03,0.00,4.73,4.79,,,,,,,,,,,,,,,,,,,,,,,,
14.0156,Pic-06-27/4,0.36,0.01,0.27,0.03,,,0.00,0.00,0.75,0.42,,,,,,,,,,,,,,,,,,,,,,,,
14.0157,Pic-06-27/5,0.74,0.02,0.61,0.04,,,0.01,0.00,0.82,0.88,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0001,QF57A1a,2.40,0.07,13.69,0.23,,,0.19,0.00,5.70,5.62,,,,,,,,,,,,,,,,,,,,,,,,
15.0002,QF57A1b,0.93,0.03,4.86,0.11,,,0.03,0.00,5.22,2.08,,,,,,,,,,,,,,,,,,,,,,,,
15.0003,QF57A1c,1.39,0.04,6.58,0.13,,,0.06,0.00,4.75,2.93,,,,,,,,,,,,,,,,,,,,,,,,
15.0004,QF57A2a,0.33,0.01,2.74,0.05,,,0.01,0.00,8.39,0.97,,,,,,,,,,,,,,,,,,,,,,,,
15.0005,QF57A2b,3.18,0.08,16.91,0.26,,,0.02,0.00,5.32,7.15,,,,,,,,,,,,,,,,,,,,,,,,
15.0006,QF57A2c,1.18,0.03,7.34,0.12,,,0.01,0.00,6.22,2.90,,,,,,,,,,,,,,,,,,,,,,,,
15.0007,QF57B1a,6.68,0.14,24.99,0.39,,,0.34,0.00,3.74,12.55,,,,,,,,,,,,,,,,,,,,,,,,
15.0008,QF57B1b,2.23,0.07,22.86,0.35,,,0.23,0.00,10.25,7.60,,,,,,,,,,,,,,,,,,,,,,,,
15.0009,QF57B1c,3.85,0.10,26.19,0.38,,,0.10,0.00,6.80,10.00,,,,,,,,,,,,,,,,,,,,,,,,
15.001,QF57B2a,0.46,0.02,2.93,0.06,,,0.01,0.00,6.38,1.15,,,,,,,,,,,,,,,,,,,,,,,,
15.0011,QF57B2b,0.53,0.02,5.81,0.10,,,0.01,0.00,10.99,1.89,,,,,,,,,,,,,,,,,,,,,,,,
