RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#14,#14-0001,Pic-06-01A/1,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.30,0.01,1.45,0.05,,,0.01,0.00,4.83,0.64,1.65,0.18,1.82,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14,#14-0002,Pic-06-01A/1a,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.47,0.02,3.68,0.08,,,0.03,0.00,7.83,1.33,4.24,0.47,4.66,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14,#14-0003,Pic-06-01A/1b**,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.46,0.02,3.63,0.11,,,0.01,0.00,7.88,1.31,1.60,0.23,1.76,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14,#14-0004,Pic-06-01A/2**,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.49,0.02,2.06,0.05,,,0.00,0.00,4.20,0.97,0.74,0.17,0.81,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14,#14-0005,Pic-06-01A/3,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.31,0.01,1.58,0.05,,,0.01,0.00,5.10,0.68,2.65,0.29,2.92,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14,#14-0006,Pic-06-01A/4,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.31,0.01,2.51,0.06,,,0.01,0.00,8.10,0.90,2.96,0.33,3.26,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14,#14-0007,Pic-06-01A/4a**,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.30,0.01,3.32,0.07,,,0.00,0.00,11.18,1.08,0.63,0.11,0.69,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14,#14-0008,Pic-06-01A/4b**,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.20,0.01,2.32,0.05,,,0.00,0.00,11.37,0.75,0.53,0.15,0.59,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14,#14-0009,Pic-06-01A/4c**,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.36,0.01,4.16,0.08,,,0.00,0.00,11.66,1.33,0.39,0.08,0.43,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
#14,#14-0010,Pic-06-01A/5a**,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°15' 23.7240""S","43°52' 43.8816""W",7759727,617092,23 K,1495,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,0.08,0.01,0.36,0.03,,,0.00,0.00,4.74,0.16,0.63,0.78,0.69,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
