RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#25,#25-0001,Capao L1,09TZU,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,23 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.84,0.06,0.47,0.03,,,4.34,0.16,0.12,3.95,,,197.63,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0002,Capao L1,09VYA,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,24 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.08,0.07,0.37,0.04,,,3.74,0.08,0.12,3.17,,,212.22,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0003,Capao L1,09VYF,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,25 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.36,0.06,0.44,0.03,,,4.07,0.13,0.13,3.47,,,211.01,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0004,Capao L1,09TYA,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,26 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,4.34,0.05,0.48,0.02,,,6.19,0.30,0.11,4.45,,,248.72,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0005,Capao L1,09TZV,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,27 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.96,0.06,0.69,0.03,,,9.14,0.35,0.12,6.12,,,266.88,6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0006,Capao L1,09VWR,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,28 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.75,0.04,0.41,0.02,,,5.83,0.36,0.11,3.85,,,270.61,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0007,Capao L1,09VYK,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,29 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,6.26,0.07,0.73,0.03,,,10.81,0.41,0.12,6.43,,,298.99,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0008,Capao L1,09VXW,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,30 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.46,0.06,0.62,0.03,,,9.24,0.36,0.11,5.60,,,293.55,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0009,Capao L2,09VWS,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,31 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.50,0.09,0.62,0.04,,,8.50,0.19,0.11,5.64,,,268.79,6.86,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0010,Capao L2,09VXX,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,32 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.18,0.09,0.59,0.04,,,8.06,0.17,0.11,5.32,,,270.23,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
