RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#25,#25-0011,Capao L2,09VYB,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,33 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.70,0.08,0.63,0.03,,,9.03,0.27,0.11,5.85,,,275.05,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0012,Capao L2,09VYG,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,34 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.33,0.09,0.63,0.04,,,8.69,0.20,0.12,5.48,,,282.27,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0013,Capao L2,09VYL,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,35 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.59,0.07,0.59,0.03,,,8.88,0.29,0.10,5.73,,,276.51,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0014,Capão L4,09TZS,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,36 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.06,0.06,0.46,0.02,,,7.94,0.32,0.09,5.16,,,274.23,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0015,Capão L4,09TZW,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,37 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.07,0.04,0.27,0.02,,,4.86,0.26,0.09,3.14,,,275.64,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0016,Capão L4,09TZY,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,38 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,4.04,0.05,0.37,0.02,,,6.46,0.26,0.09,4.13,,,278.80,6.73,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0017,Capao L4,09VXZ,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,39 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.44,0.07,0.32,0.03,,,5.64,0.14,0.09,3.51,,,285.86,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0018,Capao L4,09VYI,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,40 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.56,0.06,0.33,0.03,,,5.85,0.17,0.09,3.64,,,286.46,7.63,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0019,Capao L4,09VYN,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,41 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,4.70,0.06,0.40,0.02,,,7.81,0.28,0.09,4.80,,,289.74,6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0020,Capao L4,09VYD,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,42 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.70,0.06,0.38,0.03,,,6.23,0.18,0.10,3.79,,,292.27,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0021,Capao L5,09VXV,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,43 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,2.37,0.06,0.11,0.03,,,2.75,0.06,0.05,2.40,,,205.71,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0022,Capão L5,09TYH,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,44 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,2.16,0.03,0.06,0.01,,,2.55,0.16,0.03,2.17,,,209.85,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0023,Capao L5,09VYE,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,45 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,1.69,0.04,0.07,0.03,,,2.07,0.05,0.04,1.70,,,217.22,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0024,Capão L5,09TYN,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,46 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,1.85,0.03,0.04,0.01,,,2.30,0.13,0.02,1.86,,,220.04,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0025,Capao L5,,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,47 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,2.25,0.04,0.07,0.01,,,2.92,0.16,0.03,2.26,,,230.69,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0026,Capao L5,09VYO,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,48 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,1.56,0.03,0.03,0.02,,,2.15,0.09,0.02,1.56,,,244.30,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0027,Capao L5,09VYJ,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°2'44""S","43°58'55""W",7783119,606457,49 K,,,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,1.85,0.04,0.08,0.02,,,2.75,0.13,0.04,1.87,,,261.12,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,Approximate geographic location
#25,#25-0028,Win 01B,09VYP,"Winsor, Flinders Ranges, SA",Australia,"30°42'54.2""S","139°15'0.7""E",332445.721,6600669.243,54J,167,,goethite,Metasediments,Lateritized continental sediments,8.10,0.06,0.08,0.02,,,9.47,0.39,0.01,8.12,,,209.66,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0029,Win 01B,09VYQ,"Winsor, Flinders Ranges, SA",Australia,"30°42'54.2""S","139°15'0.7""E",332445.721,6600669.243,54J,167,,goethite,Metasediments,Lateritized continental sediments,8.04,0.08,0.07,0.02,,,9.08,0.29,0.01,8.06,,,202.60,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0030,Win 01B,09VYR,"Winsor, Flinders Ranges, SA",Australia,"30°42'54.2""S","139°15'0.7""E",332445.721,6600669.243,54J,167,,goethite,Metasediments,Lateritized continental sediments,7.94,0.06,0.04,0.02,,,8.97,0.37,0.01,7.95,,,202.88,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0031,Win 01B,09VYS,"Winsor, Flinders Ranges, SA",Australia,"30°42'54.2""S","139°15'0.7""E",332445.721,6600669.243,54J,167,,goethite,Metasediments,Lateritized continental sediments,7.94,0.09,0.18,0.03,,,9.03,0.24,0.02,7.98,,,203.52,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0032,Win 01B,09VYT,"Winsor, Flinders Ranges, SA",Australia,"30°42'54.2""S","139°15'0.7""E",332445.721,6600669.243,54J,167,,goethite,Metasediments,Lateritized continental sediments,7.85,0.09,0.09,0.03,,,8.17,0.21,0.01,7.87,,,187.09,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0033,Roy L5,09VNK,"Hamersley Province, WA",Australia,"22°23'46.46470""S","119°50'9.20454""E",791987.985,7520559.022,50K,400,,goethite,Weathered banded iron formation,Lateritized BIFs,3.18,0.06,0.21,0.02,,,1.18,0.04,0.07,3.23,,,66.59,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0034,Roy L5,09VNL,"Hamersley Province, WA",Australia,"22°23'46.46470""S","119°50'9.20454""E",791987.985,7520559.022,50K,400,,goethite,Weathered banded iron formation,Lateritized BIFs,3.24,0.06,0.30,0.03,,,1.22,0.03,0.09,3.31,,,67.55,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0035,Roy L6,09VNM,"Hamersley Province, WA",Australia,"22°23'46.46470""S","119°50'9.20454""E",791987.985,7520559.022,50K,400,,goethite,Weathered banded iron formation,Lateritized BIFs,3.66,0.06,0.12,0.02,,,1.59,0.06,0.03,3.69,,,78.90,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0036,Roy L6,09VNN,"Hamersley Province, WA",Australia,"22°23'46.46470""S","119°50'9.20454""E",791987.985,7520559.022,50K,400,,goethite,Weathered banded iron formation,Lateritized BIFs,3.52,0.07,0.13,0.03,,,1.52,0.03,0.04,3.55,,,77.90,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0037,WIN 03A(b),,"Winsor, Flinders Ranges, SA",Australia,30°42'4.7''S,139°14'23.9''E,331442.84,6602178.046,54J,167,,goethite,Metasediments,Lateritized continental sediments,150.48,,8.96,,,,31.34,,0.06,152.58,,,37.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0038,WIN 03A(c),,"Winsor, Flinders Ranges, SA",Australia,30°42'4.7''S,139°14'23.9''E,331442.84,6602178.046,54J,167,,goethite,Metasediments,Lateritized continental sediments,150.53,,2.71,,,,31.13,,0.02,151.17,,,37.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#25,#25-0039,WIN 03A(d),,"Winsor, Flinders Ranges, SA",Australia,30°42'4.7''S,139°14'23.9''E,331442.84,6602178.046,54J,167,,goethite,Metasediments,Lateritized continental sediments,317.35,,18.24,,,,64.61,,0.06,321.64,,,36.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
