RefID,SampleID,SampleName,LaboratoryCode,Calculated_Age_(Ma),±_CalcAge,Corrected_Age_(Ma)_[5-15%_or_4/3],±_CorrAge
3,3.0029,Stop1-6-A8(a),,6.10,0.40,7.10,1.00
3,3.003,Stop1-6-A8(b),,4.50,0.30,5.30,0.80
3,3.0031,Stop1-6-A9(a),,4.90,0.30,5.70,0.80
3,3.0032,Stop1-6-A9(b),,4.60,0.30,5.40,0.80
3,3.0033,Met06-A1,,3.20,0.20,3.80,0.50
3,3.0034,Met06-A2,,3.30,0.20,3.80,0.60
3,3.0035,Met06-A3,,3.80,0.20,4.40,0.60
3,3.0036,Met06-B1,,4.30,0.30,5.00,0.70
3,3.0037,Met06-B2,,4.00,0.20,4.60,0.70
3,3.0038,Met06-B3,,4.00,0.20,4.70,0.70
3,3.0039,Met06-C1,,3.50,0.20,4.10,0.60
3,3.004,Met06-C2,,3.50,0.20,4.10,0.60
3,3.0041,Met06-D,,4.50,0.30,5.30,0.80
3,3.0042,Met06-E,,7.00,0.40,8.20,1.20
3,3.0043,Met06-F,,4.00,0.20,4.70,0.70
3,3.0044,Met06-G,,4.10,0.20,4.80,0.70
3,3.0045,Stop1-6-B1(a),,3.00,0.20,3.50,0.50
3,3.0046,Stop1-6-B1(b),,3.40,0.20,3.90,0.60
3,3.0047,Stop1-6-B2(a),,6.90,0.40,8.10,1.20
3,3.0048,Stop1-6-B2(b),,3.80,0.20,4.50,0.70
3,3.0049,Stop1-6-D1(a),,2.80,0.20,3.30,0.50
3,3.005,Stop1-6-D1(b),,4.10,0.20,4.80,0.70
,,,,,,,
4,4.0001,06BR064JOA-P1 (b),,1.21,0.13,1.33,0.13
4,4.0002,06BR064JOA-P2 (b),,2.97,0.32,3.27,0.33
4,4.0003,06BR064JOA-P2 (n),,5.88,0.62,6.46,0.65
4,4.0004,06BR064JOA-P5 (b),,9.11,0.99,10.02,1.00
4,4.0005,06BR078PON-P1 (b),,10.64,1.08,11.70,1.17
4,4.0006,06BR078PON-P1 (m),,11.15,1.13,12.26,1.23
4,4.0007,06BR078PON-P1 (n),,17.01,1.76,18.71,1.87
4,4.0008,06BR078PON-P2 (b),,16.58,1.69,18.23,1.82
4,4.0009,06BR078PON-P2 (m),,11.58,1.19,12.74,1.27
4,4.001,06BR078PON-P3 (b),,40.45,4.07,44.49,4.45
4,4.0011,06BR078PON-P3 (m),,15.14,1.59,16.65,1.67
4,4.0012,06BR078PON-P3 (n),,15.47,1.62,17.02,1.70
4,4.0013,06BR078PON-P4 - 1(b),,13.37,1.37,14.71,1.47
4,4.0014,06BR078PON-P4 - 2,,11.14,1.12,12.26,1.23
4,4.0015,06BR078PON-P4 - 3,,12.07,1.25,13.28,1.33
4,4.0016,06BR078PON-P4 - 4(n),,13.04,1.33,14.34,1.43
4,4.0017,06BR078PON-P5 (b),,13.90,1.42,15.29,1.53
4,4.0018,06BR078PON-P5 (m),,9.93,1.02,10.92,1.09
4,4.0019,06BR078PON-P5 (n),,12.19,1.27,13.41,1.34
4,4.002,06BR078PON-P6 (b),,14.60,1.49,16.06,1.61
4,4.0021,06BR078PON-P6 (m),,16.67,1.70,18.34,1.83
4,4.0022,06BR078PON-P6 (n),,12.87,1.31,14.15,1.42
4,4.0023,06BR080PON-P1 (b),,8.77,0.89,9.65,0.97
4,4.0024,06BR080PON-P1 (m),,8.65,0.90,9.52,0.95
4,4.0025,06BR080PON-P1 (n),,10.45,1.07,11.50,1.15
4,4.0026,06BR080PON-P4 (b),,9.24,0.93,10.16,1.02
4,4.0027,06BR080PON-P4(m),,8.86,0.90,9.75,0.97
4,4.0028,06BR080PON-P4 (m),,8.23,0.83,9.06,0.91
4,4.0029,06BR080PON-P5 - 1(b),,8.68,0.87,9.54,0.95
4,4.003,06BR080PON-P5 - 2,,8.48,0.85,9.32,0.93
4,4.0031,06BR080PON-P5 - 3,,9.88,1.01,10.87,1.09
4,4.0032,06BR080PON-P5 - 4(n),,21.66,2.18,23.83,2.38
4,4.0033,06BR080PON-P6 (b),,14.20,1.42,15.62,1.56
4,4.0034,06BR080PON-P6 (m),,10.04,1.04,11.05,1.10
4,4.0035,06BR080PON-P6 (n),,9.50,0.97,10.45,1.05
4,4.0036,06BR080PON-P7(B),,10.15,1.01,11.17,1.12
