RefID,SampleID,SampleName,LaboratoryCode,Calculated_Age_(Ma),±_CalcAge,Corrected_Age_(Ma)_[5-15%_or_4/3],±_CorrAge
6,6.0096,PR0904 trinch,09LJN,0.94,,1.03,0.10
6,6.0097,PR0904 trinch,09LJO,1.23,,1.36,0.14
6,6.0098,PR0904 trinch_A,09LJP,1.80,,1.98,0.20
6,6.0099,PR0904 trinch_A,09LJQ,0.95,,1.05,0.10
6,6.01,PR0904 trinch_2,09LJR,0.77,,0.85,0.08
6,6.0101,PR0904 trinch_2,09LJS,0.76,,0.84,0.08
6,6.0102,PR0904B,09LJT,1.59,,1.75,0.18
6,6.0103,PR0904B,09LJU,1.08,,1.19,0.12
6,6.0104,PR07MDO,08DCM,2.97,,3.27,0.33
6,6.0105,PR0907 pisolite_1,09MOT,2.21,,2.43,0.24
6,6.0106,PR0907 pisolite_2,09MOU,1.42,,1.56,0.16
6,6.0107,PR0925,09LKH,1.41,,1.55,0.15
6,6.0108,PR0925,09LKI,3.63,,3.99,0.40
6,6.0109,PR0925A,09LKJ,0.74,,0.82,0.08
6,6.011,PR0925A,09LKK,0.95,,1.04,0.10
6,6.0111,PR0925A1,09LKL,0.79,,0.86,0.09
6,6.0112,PR0925A1,09LKM,0.84,,0.93,0.09
,,,,,,,
7,7.0001,Cop061b,05QCU,14.00,,15.40,1.54
7,7.0002,Cop061b,05QCV,73.14,,80.45,8.05
7,7.0003,Cop061b,05QCW,21.73,,23.90,2.39
7,7.0004,Cop0604a,05QCX,9.87,,10.85,1.09
7,7.0005,Cop0604b,05QCY,7.95,,8.74,0.87
7,7.0006,Cop0604c,05QCZ,12.24,,13.46,1.35
7,7.0007,Cop0604d,05QDA,8.83,,9.71,0.97
7,7.0008,Cop0605a,05QDB,1.44,,1.58,0.16
7,7.0009,Cop0605b,05QDC,8.96,,9.86,0.99
7,7.001,Cop0605c,05QDD,8.13,,8.94,0.89
7,7.0011,Cop0606a,05QDE,11.12,,12.23,1.22
7,7.0012,Cop0606b,05QDF,11.25,,12.38,1.24
7,7.0013,Cop0606c,05QDG,10.76,,11.84,1.18
7,7.0014,Cop0606f,05QDH,6.10,,6.71,0.67
7,7.0015,Cop0606g,05QDI,6.48,,7.12,0.71
7,7.0016,Cop0608a,05QDJ,17.14,,18.86,1.89
7,7.0017,Cop0608d,05QDK,23.29,,25.62,2.56
7,7.0018,Cop0609Aa,05QDL,17.34,,19.07,1.91
7,7.0019,Cop0609Ab,05QDN,17.02,,18.72,1.87
7,7.002,Cop0609Ba,05QDO,19.81,,21.79,2.18
7,7.0021,Cop0609Bb,05QDP,18.00,,19.80,1.98
7,7.0022,Cop0609Bc,05QDQ,19.35,,21.29,2.13
7,7.0023,Win0601Ba,05QDR,166.30,,182.93,18.29
7,7.0024,Win0601Bb,05QDS,146.10,,160.71,16.07
7,7.0025,Win0601Bc,05QDT,135.48,,149.03,14.90
7,7.0026,Win0601Bd,05QDU,165.61,,182.17,18.22
7,7.0027,Win0601Be,05QDV,154.66,,170.12,17.01
7,7.0028,Win0601Bf,05QDW,179.11,,197.03,19.70
7,7.0029,Win0601Bg,05QDX,161.39,,177.53,17.75
7,7.003,Win0603a,05QDY,27.80,,30.58,3.06
7,7.0031,Win0603b,05QDZ,33.43,,36.77,3.68
7,7.0032,Win0603c,05QEA,35.08,,38.59,3.86
7,7.0033,Win0603d,05QEB,31.71,,34.88,3.49
,,,,,,,
8,8.0001,N4C-2cm a,,0.73,,0.80,0.08
8,8.0002,N4C-2cm b,,1.02,,1.12,0.11
8,8.0003,N4C-8cm a,,15.33,,16.86,1.69
8,8.0004,N4C-8cm b,,5.33,,5.86,0.59
8,8.0005,N4C-30cm a,,2.23,,2.45,0.25
8,8.0006,N4C-30cm b,,1.21,,1.33,0.13
8,8.0007,N4C-75cm a,,11.31,,12.44,1.24
8,8.0008,N4C-75cm b,,7.46,,8.21,0.82
8,8.0009,N4C-100cm a,,10.92,,12.01,1.20
8,8.001,N4C-100cm b,,12.99,,14.29,1.43
8,8.0011,N4C-140cm a,,4.22,,4.64,0.46
8,8.0012,N4C-140cm b,,10.12,,11.13,1.11
8,8.0013,N4C-175cm a,,8.25,,9.08,0.91
8,8.0014,N4C-175cm b,,8.68,,9.55,0.95
8,8.0015,N4C-200cm a,,41.33,,45.46,4.55
8,8.0016,N4C-200cm b,,10.75,,11.83,1.18
8,8.0017,N4C-300cm a,,4.74,,5.21,0.52
8,8.0018,N4C-300cm b,,4.46,,4.91,0.49
8,8.0019,N4C-475cm a,,7.98,,8.78,0.88
8,8.002,N4C-475cm b,,8.45,,9.30,0.93
8,8.0021,N4C-680cm a,,11.27,,12.40,1.24
8,8.0022,N4C-680cm b,,16.74,,18.41,1.84
8,8.0023,N4C-955cm a YELLOW,,2.54,,2.79,0.28
8,8.0024,N4C-955cm b YELLOW,,2.30,,2.53,0.25
8,8.0025,N4C-955cm c,,1.90,,2.09,0.21
8,8.0026,N4C-955cm d,,2.46,,2.71,0.27
,,,,,,,
9,9.0001,Lyn-9-A1g,,32.40,3.20,32.40,3.20
9,9.0002,Lyn-9-A1h,,29.20,2.90,29.20,2.90
9,9.0003,Lyn-9-A1i,,30.40,3.00,30.40,3.00
9,9.0004,Lyn-9-A2f,,30.20,3.00,30.20,3.00
9,9.0005,Lyn-9-A2g,,31.10,3.10,31.10,3.10
9,9.0006,Lyn-9-A2h,,30.70,3.10,30.70,3.10
9,9.0007,Lyn-9-A3f,,29.20,2.90,29.20,2.90
9,9.0008,Lyn-9-A3g,,30.30,3.00,30.30,3.00
9,9.0009,Lyn-9-A3h,,32.70,3.30,32.70,3.30
9,9.001,Lyn-9-A4f,,29.20,2.90,29.20,2.90
9,9.0011,Lyn-9-A4g,,28.00,2.80,28.00,2.80
9,9.0012,Lyn-9-A4h,,26.80,2.70,26.80,2.70
9,9.0013,Lyn-9-A5f,,20.50,2.00,20.50,2.00
9,9.0014,Lyn-9-A5g,,14.50,1.40,14.50,1.40
9,9.0015,Lyn-9-A5h,,21.80,2.20,21.80,2.20
9,9.0016,Lyn-8-Cf,,26.10,2.60,26.10,2.60
9,9.0017,Lyn-8-Cg,,18.50,1.80,18.50,1.80
9,9.0018,Lyn-8-Ch,,18.90,1.90,18.90,1.90
9,9.0019,Roy-02-02-B1(a),,65.50,6.60,65.50,6.60
9,9.002,Roy-02-02-B1(b),,64.80,6.50,64.80,6.50
9,9.0021,Roy-02-02-B2(a),,62.00,6.20,62.00,6.20
9,9.0022,Roy-02-02-B4(a),,28.20,2.80,28.20,2.80
9,9.0023,Roy-02-02-B4(b),,63.40,6.30,63.40,6.30
9,9.0024,Roy-02-02-B5(a),,61.30,6.10,61.30,6.10
9,9.0025,Roy-02-02-B5(b),,62.40,6.20,62.40,6.20
9,9.0026,Roy-02-02-B6(a),,62.10,6.20,62.10,6.20
9,9.0027,Roy-02-02-B6(b),,59.30,5.90,59.30,5.90
9,9.0028,Roy-02-02-B7(b),,63.70,6.40,63.70,6.40
9,9.0029,Roy-02-02-C1(a),,53.50,5.30,53.50,5.30
9,9.003,Roy-02-02-C1(b),,66.10,6.60,66.10,6.60
9,9.0031,Roy-02-02-C4(a),,64.00,6.40,64.00,6.40
9,9.0032,Roy-02-02-C4(b),,72.10,7.20,72.10,7.20
,,,,,,,
10,10.0001,G82-R11a,,14.30,0.50,14.30,0.50
10,10.0002,G82-R11b,,9.60,0.20,9.60,0.20
10,10.0003,G82-R11c,,12.00,0.30,12.00,0.30
10,10.0004,G82-R12a,,13.00,0.40,13.00,0.40
10,10.0005,G82-R12b,,10.40,0.50,10.40,0.50
10,10.0006,G82-R12c,,11.00,0.40,11.00,0.40
10,10.0007,G82-R14,,11.20,0.30,11.20,0.30
10,10.0008,G82-R15,,10.20,0.30,10.20,0.30
10,10.0009,G82-R16,,13.00,0.40,13.00,0.40
10,10.001,G82-R17,,11.90,0.40,11.90,0.40
10,10.0011,G82-R18,,16.50,0.50,16.50,0.50
10,10.0012,G82-R20,,11.60,0.30,11.60,0.30
10,10.0013,G82-R21,,11.90,0.70,11.90,0.70
10,10.0014,G328-R11a,,12.10,0.40,12.10,0.40
10,10.0015,G328-R11b,,12.90,0.40,12.90,0.40
10,10.0016,G328-R12a,,8.20,0.30,8.20,0.30
10,10.0017,G328-R12b,,8.70,0.20,8.70,0.20
10,10.0018,G328-R13,,11.60,0.40,11.60,0.40
10,10.0019,G328-R14,,11.70,0.30,11.70,0.30
10,10.002,G328-R15,,11.70,0.30,11.70,0.30
10,10.0021,G328-R16,,13.10,0.50,13.10,0.50
10,10.0022,G328-R17,,18.90,1.20,18.90,1.20
10,10.0023,G328-R20,,10.10,0.40,10.10,0.40
10,10.0024,G82 W1a,,8.40,0.90,8.40,0.90
10,10.0025,G82 W1b,,7.40,0.60,7.40,0.60
10,10.0026,G82 W1c,,7.20,0.50,7.20,0.50
10,10.0027,G82 W1d,,7.00,0.80,7.00,0.80
10,10.0028,G82 W1e,,7.80,0.60,7.80,0.60
10,10.0029,G82 W3a,,9.40,0.50,9.40,0.50
10,10.003,G82 W3b,,8.70,0.40,8.70,0.40
10,10.0031,G82 W3c,,8.20,0.40,8.20,0.40
,,,,,,,
11,11.0001,PB 2-2 G1,08BYT,2.89,,3.17,0.32
11,11.0002,PB 2-2 G2,08BYU,3.02,,3.33,0.33
11,11.0003,PB 2-2 G3,08BYV,2.98,,3.27,0.33
11,11.0004,PB 2-3 G3_1,08BYW,3.31,,3.64,0.36
11,11.0005,PB 2-3 G3_2,08BYX,3.17,,3.49,0.35
11,11.0006,PB 11-2 G1,08BYY,2.12,,2.33,0.23
11,11.0007,PB 11-2 G2,08BYZ,1.27,,1.40,0.14
11,11.0008,PB 11-3 G1,08BZA,0.83,,0.91,0.09
11,11.0009,PB 11-3 G2,08BZB,0.97,,1.06,0.11
11,11.001,PB 13-7 G1,08BZC,0.43,,0.47,0.05
11,11.0011,PB 13-7 G2,08BZD,1.69,,1.85,0.19
11,11.0012,PB 45-4 G1,08BZG,0.88,,0.97,0.10
11,11.0013,PB 50-1 G1,08BZH,1.28,,1.41,0.14
11,11.0014,PB 50-1 G2,08BZI,9.80,,10.78,1.08
11,11.0015,PB 50-3 G1,08BZJ,1.39,,1.53,0.15
11,11.0016,PB 50-4 G1,08BZK,15.82,,17.40,1.74
11,11.0017,PB 50-4 G2,08BZM,2.33,,2.57,0.26
11,11.0018,PB 59-2 G1,08BZN,1.16,,1.27,0.13
11,11.0019,PB 59-2 G2,08BZO,0.95,,1.04,0.10
11,11.002,PB 60-1_a G1,08BZP,1.93,,2.12,0.21
11,11.0021,PB 60-1_b G1,08BZR,1.25,,1.37,0.14
11,11.0022,PB 64-2 G2,08BZS,4.39,,4.83,0.48
11,11.0023,PB 67-1b_1 G1,08BZT,3.32,,3.66,0.37
11,11.0024,PB 67-1b_1 G2,08BZU,4.24,,4.66,0.47
11,11.0025,PB 67-1b_2 G1,08BZV,4.37,,4.81,0.48
11,11.0026,PB 67-1b_2 G2,08BZW,4.11,,4.52,0.45
11,11.0027,PB 67-3 G1,08BZE,2.01,,2.21,0.22
11,11.0028,PB 69-6 G1,08BZX,6.26,,6.88,0.69
11,11.0029,PB 69-6 G2,08BZY,3.86,,4.25,0.43
11,11.003,PB 71-3 G1,08BZZ,17.03,,18.73,1.87
11,11.0031,PB 71-3 G2,08CBB,16.61,,18.27,1.83
11,11.0032,PB 71-4 G1,08CBC,9.71,,10.69,1.07
11,11.0033,PB 82-2 G1,08CBD,1.84,,2.03,0.20
11,11.0034,PB 82-5 G1,08CBE,5.19,,5.71,0.57
11,11.0035,PB 82-5 G2,08CEB,3.52,,3.87,0.39
,,,,,,,
12,12.0001,RS216a1,05UZC,1.94,,2.13,0.21
12,12.0002,RS216a2,05UZB,1.68,,1.85,0.18
12,12.0003,RS216B1,05UYQ,2.08,,2.29,0.23
12,12.0004,RS216B2,05UYP,1.87,,2.06,0.21
12,12.0005,RS216C1,05UVI,1.87,,2.06,0.21
12,12.0006,RS317A1,05UVM,1.56,,1.71,0.17
12,12.0007,RS317A2,05UVL,1.70,,1.87,0.19
12,12.0008,RS318A1,05UVJ,2.07,,2.27,0.23
12,12.0009,RS318A2,05UVK,2.46,,2.70,0.27
12,12.001,RS318b1,05UYU,2.61,,2.87,0.29
12,12.0011,RS318b2,05UYT,2.34,,2.57,0.26
12,12.0012,RS318c1,05UZG,3.50,,3.85,0.38
12,12.0013,RS318c2,05UZF,2.43,,2.68,0.27
12,12.0014,RS318d1,05UZD,2.41,,2.65,0.27
12,12.0015,RS318d2,05UZE,2.46,,2.71,0.27
12,12.0016,RS318d2,05UZE,2.45,,2.69,0.27
12,12.0017,RS34a1,05UVH,4.52,,4.97,0.50
12,12.0018,RS34B1,05UYN,3.75,,4.13,0.41
12,12.0019,RS34B2,05UYO,2.95,,3.24,0.32
12,12.002,RS37a1,05UYR,3.16,,3.48,0.35
12,12.0021,RS37a2,05UYS,3.00,,3.30,0.33
12,12.0022,RS37b1,05UZA,2.61,,2.87,0.29
12,12.0023,RS37b2,05UYZ,2.70,,2.97,0.30
12,12.0024,RS37L1,05UVN,4.51,,4.96,0.50
12,12.0025,RS37L2,05UVO,3.50,,3.85,0.38
12,12.0026,RS47a1,05UXH,1.05,,1.16,0.12
12,12.0027,RS47a2,05UXI,0.84,,0.92,0.09
12,12.0028,RS47B1,05UXJ,0.89,,0.98,0.10
12,12.0029,RS47B2,05UXK,50.39,,55.43,5.54
12,12.003,RSH314b2,05UYV,2.15,,2.37,0.24
12,12.0031,RSH316a1,05UYX,2.72,,2.99,0.30
12,12.0032,RSH316a2,05UYY,2.63,,2.89,0.29
12,12.0033,RSH316B1,05UYM,1.66,,1.83,0.18
12,12.0034,RSH316c1,05UXG,2.81,,3.09,0.31
12,12.0035,RSH316c2,05UXF,2.73,,3.00,0.30
,,,,,,,
13,13.0001,11B469_LH_AZ05_PAR_9Ja_D_1,,1.62,0.03,1.70,
13,13.0002,11B472_AA_AZ_05_PAR_9Jna_D_1,,1.07,0.02,1.80,
13,13.0003,11B473_AA_AZ_05_PAR_9Jna_D_2,,1.62,0.06,3.50,
13,13.0004,11B478_AZ05_PAR_9Jna_D_3,,1.16,0.02,1.90,
13,13.0005,11B479_AZ05_PAR_9Jna_D_4,,0.59,0.01,2.40,
13,13.0006,11AA540_PR_AZ05_PAR_9Ja_1 (ext of 9Jna_D),,0.43,0.04,9.40,
13,13.0007,11AA541_PR_AZ05_PAR_9Ja_2 (ext of 9Jna_D),,0.46,0.02,3.90,
13,13.0008,11AA542_PR_AZ05_PAR_9Ja_3 (ext of 9Jna_D),,0.21,0.01,6.80,
13,13.0009,11AA544_PR_AZ05_PAR_9Jn_4 (ext of 9Jna_D),,1.06,0.02,2.30,
13,13.001,11B471_AZ05_PAR_10Jn_A_int_2_LH,,1.90,0.05,2.70,
13,13.0011,11B475_AZ05_PAR_10Jn_A_int_1,,3.09,0.06,2.00,
13,13.0012,11B475A_AZ05_PAR_10Jn_A_int_2,,3.00,0.07,2.40,
13,13.0013,11B476_AZ05_PAR_10Jn_A_int_3,,3.62,0.11,3.10,
13,13.0014,11B477_AZ05_PAR_10Jn_A_int_4,,3.06,0.06,2.10,
13,13.0015,11B480_AZ05_PAR_10Jn_A_ext_1,,2.09,0.05,2.40,
13,13.0016,11B483_AZ05_PAR_10Jn_A_ext_3,,1.65,0.04,2.50,
13,13.0017,12A169_AZ05_PAR_10Jn_B_int_1,,3.78,0.10,2.70,
13,13.0018,12A170_AZ05_PAR_10Jn_B_int_2,,5.54,0.10,1.70,
13,13.0019,12A171_AZ05_PAR_10Jn_B_int_3,,3.96,0.20,5.10,
13,13.002,12A172_AZ05_PAR_10Jn_B_int_4,,2.57,0.12,4.60,
13,13.0021,11AA546_PR_AZ05_PAR_10Jn_1 (B ext),,1.50,0.03,2.20,
13,13.0022,11AA547_PR_AZ05_PAR_10Jn_2 (B ext),,1.30,0.03,2.20,
13,13.0023,11AA548_PR_AZ05_PAR_10Jn_3 (B ext),,1.47,0.03,2.10,
13,13.0024,11AA549_PR_AZ05_PAR_10Jn_4 (B ext),,1.08,0.02,2.10,
13,13.0025,12A162_AZ05_PAR_10Jn_Ext_1,,1.66,0.07,4.30,
13,13.0026,12A163_AZ05_PAR_10Jn_Ext_2,,2.00,0.08,4.10,
13,13.0027,12A174_AZ05_PAR_10Jn_B_ext3,,0.88,0.03,3.40,
13,13.0028,12A175_AZ05_PAR_10Jn_B_ext4,,2.52,0.05,1.90,
13,13.0029,11B490_UT07_HW_23Jn_Ext_2,,1.00,0.09,8.72,
13,13.003,11B491_UT07_HW_23Jn_Ext_3,,0.52,0.03,5.40,
13,13.0031,11B492_UT07_HW_23Jn_Ext_4,,0.86,0.10,11.30,
13,13.0032,11B485_UT07_HW_23Jn_inter_2,,2.73,0.12,4.54,
13,13.0033,11B487_UT07_HW_23Jn_inter_4,,1.90,0.09,4.74,
13,13.0034,11AA551_PR_UT05_GS_12Jn_3,,2.18,0.22,10.10,
13,13.0035,12A164_UT05_GS_12Jn_A_1,,0.47,0.06,13.70,
13,13.0036,12A165_UT05_GS_12Jn_A_2,,0.48,0.06,11.60,
13,13.0037,12A166_UT05_GS_12Jn_A_3,,1.56,0.03,1.70,
13,13.0038,12A168_UT05_GS_12Jn_A_4,,0.81,0.02,3.00,
13,13.0039,12A181_UT05SGS_12Jn(B)_2,,2.55,0.10,3.70,
13,13.004,12A182_UT05SGS_12Jn(B)_3,,1.35,0.17,12.80,
13,13.0041,11AA380_PR_UT05_6S_11Jn_4,,1.88,0.13,6.80,
,,,,,,,
14,14.0001,Pic-06-01A/1,,1.65,0.18,1.82,0.18
14,14.0002,Pic-06-01A/1a,,4.24,0.47,4.66,0.47
14,14.0003,Pic-06-01A/1b**,,1.60,0.23,1.76,0.18
14,14.0004,Pic-06-01A/2**,,0.74,0.17,0.81,0.08
14,14.0005,Pic-06-01A/3,,2.65,0.29,2.92,0.29
14,14.0006,Pic-06-01A/4,,2.96,0.33,3.26,0.33
14,14.0007,Pic-06-01A/4a**,,0.63,0.11,0.69,0.07
14,14.0008,Pic-06-01A/4b**,,0.53,0.15,0.59,0.06
14,14.0009,Pic-06-01A/4c**,,0.39,0.08,0.43,0.04
14,14.001,Pic-06-01A/5a**,,0.63,0.78,0.69,0.07
14,14.0011,Pic-06-01A/5b**,,1.56,0.27,1.72,0.17
14,14.0012,Pic-06-01A/5c**,,0.53,0.12,0.59,0.06
14,14.0013,Pic-06-01A/6a**,,1.24,0.24,1.36,0.14
14,14.0014,Pic-06-01A/6b**,,0.69,0.36,0.76,0.08
14,14.0015,Pic-06-01A/6c,,2.47,0.27,2.71,0.27
14,14.0016,Pic-06-01A/7a**,,0.84,0.47,0.93,0.09
14,14.0017,Pic-06-01A/7b**,,0.63,0.22,0.69,0.07
14,14.0018,Pic-06-01A/7c**,,0.37,0.20,0.40,0.04
14,14.0019,Pic-06-01A/8a,,1.91,0.21,2.11,0.21
14,14.002,Pic-06-01A/8b**,,0.42,0.19,0.47,0.05
14,14.0021,Pic-06-01A/8c,,3.35,0.37,3.69,0.37
14,14.0022,Pic-06-01B/1,,1.39,0.15,1.53,0.15
14,14.0023,Pic-06-01B/3,,2.67,0.29,2.94,0.29
14,14.0024,Pic-06-01B/3a,,2.34,0.26,2.57,0.26
14,14.0025,Pic-06-01B/3b,,2.31,0.25,2.54,0.25
14,14.0026,Pic-06-01B/3c,,2.23,0.25,2.45,0.25
14,14.0027,Pic-06-01B/4,,1.33,0.15,1.46,0.15
14,14.0028,Pic-06-01B/5a,,1.91,0.21,2.10,0.21
14,14.0029,Pic-06-01B/5b**,,1.28,0.17,1.40,0.14
14,14.003,Pic-06-01B/5c,,1.28,0.14,1.41,0.14
14,14.0031,Pic-06-01C/2,,3.26,0.36,3.59,0.36
14,14.0032,Pic-06-01C/2a,,3.07,0.34,3.38,0.34
14,14.0033,Pic-06-01C/2b,,2.66,0.29,2.93,0.29
14,14.0034,Pic-06-01C/2c,,5.13,0.56,5.64,0.56
14,14.0035,Pic-06-01C/3,,2.58,0.28,2.84,0.28
14,14.0036,Pic-06-01C/5,,2.54,0.28,2.79,0.28
14,14.0037,Pic-06-01C/6a,,5.53,0.61,6.08,0.61
14,14.0038,Pic-06-01C/6b,,6.04,0.66,6.64,0.66
14,14.0039,Pic-06-01C/6c,,1.80,0.20,1.98,0.20
14,14.004,Pic-06-02/1,,0.78,0.09,0.86,0.09
14,14.0041,Pic-06-02/2,,0.86,0.09,0.95,0.09
14,14.0042,Pic-06-02/4**,,1.54,0.18,1.69,0.17
14,14.0043,Pic-06-02/5**,,1.26,0.18,1.39,0.14
14,14.0044,Pic-06-02/6,,0.96,0.11,1.06,0.11
14,14.0045,Pic-06-02/7,,1.93,0.21,2.12,0.21
14,14.0046,Pic-06-02/8,,1.61,0.18,1.77,0.18
14,14.0047,Pic-06-02/9**,,0.68,0.20,0.75,0.07
14,14.0048,Pic-06-02/10a**,,1.85,0.29,2.04,0.20
14,14.0049,Pic-06-02/10b**,,1.65,0.26,1.81,0.18
14,14.005,Pic-06-02/10c**,,1.58,0.26,1.74,0.17
14,14.0051,Pic-06-02/11a**,,0.41,0.09,0.45,0.05
14,14.0052,Pic-06-02/11b**,,1.72,0.23,1.89,0.19
14,14.0053,Pic-06-02/11c**,,0.96,0.17,1.05,0.11
14,14.0054,Pic-06-03/1,,14.29,1.57,15.72,1.57
14,14.0055,Pic-06-03/2,,9.85,1.08,10.84,1.08
14,14.0056,Pic-06-03/3,,3.03,0.33,3.33,0.33
14,14.0057,Pic-06-03/4,,12.73,1.40,14.00,1.40
14,14.0058,Pic-06-03/5,,18.26,2.01,20.09,2.01
14,14.0059,Pic-06-03/6a,,22.14,2.44,24.36,2.44
14,14.006,Pic-06-03/6b,,17.57,1.93,19.32,1.93
14,14.0061,Pic-06-03/6c,,6.72,0.74,7.39,0.74
14,14.0062,Pic-06-04/2,,26.74,2.94,29.41,2.94
14,14.0063,Pic-06-04/2a,,26.03,2.86,28.63,2.86
14,14.0064,Pic-06-04/2b,,50.26,5.53,55.29,5.53
14,14.0065,Pic-06-04/2c,,29.02,3.19,31.92,3.19
14,14.0066,Pic-06-04/3,,27.36,3.01,30.10,3.01
14,14.0067,Pic-06-04/3a,,31.32,3.45,34.45,3.45
14,14.0068,Pic-06-04/3b,,31.63,3.48,34.79,3.48
14,14.0069,Pic-06-04/3c,,26.66,2.93,29.32,2.93
14,14.007,Pic-06-05B/2,,23.33,2.57,25.66,2.57
14,14.0071,Pic-06-07/1**,,0.40,0.05,0.44,0.04
14,14.0072,Pic-06-07/1a**,,0.71,0.11,0.78,0.08
14,14.0073,Pic-06-07/1b,,1.70,0.19,1.87,0.19
14,14.0074,Pic-06-07/1c,,0.72,0.08,0.80,0.08
14,14.0075,Pic-06-07/5a,,1.20,0.13,1.32,0.13
14,14.0076,Pic-06-07/5b,,0.79,0.09,0.86,0.09
14,14.0077,Pic-06-07/5c,,2.85,0.31,3.13,0.31
14,14.0078,Pic-06-08/2**,,1.19,0.15,1.31,0.13
14,14.0079,Pic-06-08/6b,,3.86,0.42,4.24,0.42
14,14.008,Pic-06-08/6c,,3.23,0.35,3.55,0.35
14,14.0081,Pic-06-08/7a,,1.86,0.20,2.05,0.20
14,14.0082,Pic-06-08/7b,,1.68,0.18,1.85,0.18
14,14.0083,Pic-06-08/7c,,2.42,0.27,2.66,0.27
14,14.0084,Pic-06-08/9a,,2.40,0.26,2.64,0.26
14,14.0085,Pic-06-08/9b,,5.02,0.55,5.52,0.55
14,14.0086,Pic-06-08/9c,,3.79,0.42,4.17,0.42
14,14.0087,Pic-06-13/4,,0.60,0.07,0.66,0.07
14,14.0088,Pic-06-21/5,,8.26,0.91,9.09,0.91
14,14.0089,Pic-06-21/6 a,,27.00,2.97,29.70,2.97
14,14.009,Pic-06-21/6 b,,16.01,1.76,17.61,1.76
14,14.0091,Pic-06-21/6 c,,17.67,1.94,19.44,1.94
14,14.0092,Pic-06-21/6 d,,10.74,1.18,11.81,1.18
14,14.0093,Pic-06-21/6 e,,19.95,2.19,21.95,2.19
14,14.0094,Pic-06-21/6 f,,26.51,2.92,29.16,2.92
14,14.0095,Pic-06-21/6 g,,23.58,2.59,25.94,2.59
14,14.0096,Pic-06-21/6 h,,21.36,2.35,23.50,2.35
14,14.0097,Pic-06-21/6 i,,18.02,1.98,19.82,1.98
14,14.0098,Pic-06-21/6 j,,12.66,1.39,13.93,1.39
14,14.0099,Pic-06-21/6 l,,18.15,2.00,19.96,2.00
14,14.01,Pic-06-21/6 m,,15.58,1.71,17.14,1.71
14,14.0101,Pic-06-21/6 n,,20.42,2.25,22.46,2.25
14,14.0102,Pic-06-21/6 o,,14.49,1.59,15.94,1.59
14,14.0103,Pic-06-21/6 p,,13.65,1.50,15.01,1.50
14,14.0104,Pic-06-21/6 q,,17.48,1.92,19.23,1.92
14,14.0105,Pic-06-21/6 r,,21.91,2.41,24.10,2.41
14,14.0106,Pic-06-21/6 s,,15.09,1.66,16.60,1.66
14,14.0107,Pic-06-21/6 t,,20.87,2.30,22.96,2.30
14,14.0108,Pic-06-21/6 u,,18.36,2.02,20.19,2.02
14,14.0109,Pic-06-21-1G-1a,,26.32,2.89,28.95,2.89
14,14.011,Pic-06-21-1G-1b,,26.61,2.93,29.27,2.93
14,14.0111,Pic-06-21-1G-1c,,43.75,4.81,48.12,4.81
14,14.0112,Pic-06-21-1G-2a,,30.19,3.32,33.21,3.32
14,14.0113,Pic-06-21-1G-2b,,28.88,3.18,31.77,3.18
14,14.0114,Pic-06-21-1G-3a,,41.61,4.58,45.77,4.58
14,14.0115,Pic-06-21-1G-3b,,25.87,2.85,28.46,2.85
14,14.0116,Pic-06-21-1G-3c,,23.41,2.58,25.75,2.58
14,14.0117,Pic-06-21-1G-4a,,18.96,2.09,20.86,2.09
14,14.0118,Pic-06-21-1G-4b,,21.33,2.35,23.46,2.35
14,14.0119,Pic-06-21-2G-1,,20.96,2.31,23.06,2.31
14,14.012,Pic-06-21-2G-2,,22.87,2.52,25.16,2.52
14,14.0121,Pic-06-21-2G-3,,28.60,3.15,31.46,3.15
14,14.0122,Pic-06-21-2G-4,,10.84,1.19,11.93,1.19
14,14.0123,Pic-06-21-2G-5,,27.58,3.03,30.34,3.03
14,14.0124,Pic-06-21-2G-6,,16.82,1.85,18.50,1.85
14,14.0125,Pic-06-21-2G-7,,19.77,2.17,21.75,2.17
14,14.0126,Pic-06-21-2G-8,,16.45,1.81,18.10,1.81
14,14.0127,Pic-06-21-2G-9,,43.34,4.77,47.68,4.77
14,14.0128,Pic-06-21-2G-10,,22.03,2.42,24.24,2.42
14,14.0129,Pic-06-22/5,,48.64,5.35,53.50,5.35
14,14.013,Pic-06-22/5a,,28.99,3.19,31.89,3.19
14,14.0131,Pic-06-22/5b,,27.08,2.98,29.79,2.98
14,14.0132,Pic-06-22/5c,,37.62,4.14,41.39,4.14
14,14.0133,Pic-06-24/1,,14.67,1.61,16.14,1.61
14,14.0134,Pic-06-24/2,,6.69,0.74,7.36,0.74
14,14.0135,Pic-06-24/3**,,5.76,6.37,6.34,0.63
14,14.0136,Pic-06-24/4,,10.41,1.15,11.45,1.15
14,14.0137,Pic-06-24/5,,20.72,2.28,22.79,2.28
14,14.0138,Pic-06-25A/1,,9.21,1.01,10.13,1.01
14,14.0139,Pic-06-25A/2,,7.65,0.84,8.42,0.84
14,14.014,Pic-06-25A/4,,6.26,0.69,6.89,0.69
14,14.0141,Pic-06-25A/5,,7.45,0.82,8.20,0.82
14,14.0142,Pic-06-25A/6,,7.12,0.78,7.83,0.78
14,14.0143,Pic-06-25A/8,,8.76,0.96,9.64,0.96
14,14.0144,Pic-06-25B/2,,11.22,1.23,12.34,1.23
