RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#22,#22-0001,B-93-01,09XMK,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,27.91,0.1,0,0.02,,,8.64,0.4,0,27.91,56.61,1.15,62.27,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,#22-0002,B-93-01,09XML,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,8.46,0.04,0.01,0.01,,,2.98,0.23,0,8.47,64.33,1.32,70.76,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,#22-0003,BA-P010-surface,09XMN,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,123.19,0.45,0.13,0.01,,,41.74,3.51,0,123.22,61.94,1.26,68.14,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,#22-0004,BA-P010-surface,09XMO,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,111.34,0.39,0.1,0.03,,,37.02,1.13,0,111.36,60.8,1.23,66.88,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,#22-0005,BAH 3 cml 7 3 bottom layers,09TZP,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,141.69,0.51,0.02,0.02,,,10.83,0.48,0,141.69,14.05,0.29,15.45,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,#22-0006,BAH 3 cml 7 3 bottom layers,09TZR,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,153.01,0.55,0.03,0.02,,,10.98,0.5,0,153.02,13.19,0.27,14.5,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,#22-0007,BAH 3 cml 7 3 bottom layers,09TXZ,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,117.61,0.42,0.01,0.01,,,7.9,0.44,0,117.61,12.35,0.25,13.58,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,#22-0008,BAH 3 cml 7 3 bottom layers,09TYF,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,176.01,0.63,0.1,0.03,,,9.7,0.24,0,176.03,10.13,0.21,11.14,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,#22-0009,BAH 3 cml 7 3 bottom layers,09TYL,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,117.5,0.42,0.04,0.01,,,6.6,0.37,0,117.51,10.33,0.21,11.36,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
#22,#22-0010,BAH 3 cml 7 3 bottom layers,09TYR,"Igarapé Bahia gold deposit, Carajás",Brazil,"06°01'46.6""S","50°34'6.55""W",,,,,,goethite,Metasediment and metavolcanic rocks (Cu-Au massive sulfide deposit),Gossans and Lateritized Cu-Au deposits,99.3,0.35,0.19,0.02,,,8.04,0.3,0,99.34,14.87,0.3,16.36,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
