RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#12,#12-0023,RS37b2,05UYZ,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,1.63,,0.93,,,,0.03,,0.57,1.85,2.70,,2.97,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0024,RS37L1,05UVN,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,0.88,,1.55,,,,0.03,,1.76,1.25,4.51,,4.96,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0025,RS37L2,05UVO,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,1.07,,2.32,,,,0.03,,2.17,1.61,3.50,,3.85,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0026,RS47a1,05UXH,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,9.45,,1.28,,,,0.06,,0.14,9.75,1.05,,1.16,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0027,RS47a2,05UXI,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,14.73,,2.18,,,,0.07,,0.15,15.24,0.84,,0.92,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0028,RS47B1,05UXJ,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,17.44,,1.44,,,,0.09,,0.08,17.77,0.89,,0.98,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0029,RS47B2,05UXK,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,22.80,,3.15,,,,6.48,,0.14,23.54,50.39,,55.43,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0030,RSH314b2,05UYV,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,10.42,,6.50,,,,0.14,,0.62,11.95,2.15,,2.37,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0031,RSH316a1,05UYX,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,3.05,,5.15,,,,0.06,,1.69,4.26,2.72,,2.99,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0032,RSH316a2,05UYY,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,2.94,,4.93,,,,0.06,,1.67,4.10,2.63,,2.89,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0033,RSH316B1,05UYM,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,2.19,,8.62,,,,0.04,,3.94,4.21,1.66,,1.83,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0034,RSH316c1,05UXG,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,2.40,,5.39,,,,0.06,,2.25,3.66,2.81,,3.09,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0035,RSH316c2,05UXF,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,2.38,,6.33,,,,0.06,,2.66,3.87,2.73,,3.00,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
