RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#12,#12-0001,RS216a1,05UZC,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,3.24,,4.93,,,,0.05,,1.52,4.40,1.94,,2.13,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0002,RS216a2,05UZB,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,3.72,,4.41,,,,0.04,,1.19,4.75,1.68,,1.85,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0003,RS216B1,05UYQ,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,3.60,,4.71,,,,0.05,,1.31,4.70,2.08,,2.29,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0004,RS216B2,05UYP,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,3.61,,3.82,,,,0.05,,1.06,4.50,1.87,,2.06,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0005,RS216C1,05UVI,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,3.25,,3.81,,,,0.04,,1.17,4.15,1.87,,2.06,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0006,RS317A1,05UVM,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,3.14,,10.54,,,,0.05,,3.35,5.62,1.56,,1.71,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0007,RS317A2,05UVL,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,2.79,,9.31,,,,0.05,,3.33,4.98,1.70,,1.87,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0008,RS318A1,05UVJ,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,8.94,,6.00,,,,0.12,,0.67,10.34,2.07,,2.27,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0009,RS318A2,05UVK,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,9.75,,7.88,,,,0.15,,0.81,11.60,2.46,,2.70,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0010,RS318b1,05UYU,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,5.31,,1.83,,,,0.08,,0.34,5.74,2.61,,2.87,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0011,RS318b2,05UYT,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,4.92,,2.16,,,,0.07,,0.44,5.43,2.34,,2.57,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0012,RS318c1,05UZG,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,5.64,,3.51,,,,0.12,,0.62,6.47,3.50,,3.85,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0013,RS318c2,05UZF,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,5.38,,3.48,,,,0.08,,0.65,6.20,2.43,,2.68,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0014,RS318d1,05UZD,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,4.96,,2.04,,,,0.07,,0.41,5.44,2.41,,2.65,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0015,RS318d2,05UZE,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,4.80,,1.53,,,,0.07,,0.32,5.16,2.46,,2.71,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0016,RS318d2,05UZE,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,4.87,,1.53,,,,0.07,,0.31,5.23,2.45,,2.69,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0017,RS34a1,05UVH,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,1.16,,2.06,,,,0.04,,1.77,1.65,4.52,,4.97,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0018,RS34B1,05UYN,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,0.94,,2.36,,,,0.03,,2.52,1.49,3.75,,4.13,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0019,RS34B2,05UYO,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,1.20,,2.57,,,,0.03,,2.14,1.81,2.95,,3.24,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0020,RS37a1,05UYR,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,0.93,,1.49,,,,0.02,,1.61,1.28,3.16,,3.48,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0021,RS37a2,05UYS,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,1.55,,1.82,,,,0.03,,1.18,1.98,3.00,,3.30,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
#12,#12-0022,RS37b1,05UZA,"Ravensthorpe, WA",Australia,"33°38'24.00""S","120°23'24.00""E",257927.559,6274703.297,51H,,,goethite,mafic-ultramafic rocks,Nickel laterite,1.90,,1.65,,,,0.03,,0.87,2.29,2.61,,2.87,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
