RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#21,#21-0001,Pic21_FG,09RXA,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,2.54,0.06,10.08,0.16,,,0.55,0.01,3.97,4.91,20.58,,22.64,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0002,Pic21_FG,09QVK,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,1.52,0.04,7.32,0.12,,,0.46,0.01,4.82,3.24,25.91,,28.5,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0003,Pic21_FG,09QVA,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.95,0.08,16.46,0.25,,,1.3,0.02,4.16,7.82,30.59,,33.64,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0004,Pic-06-21_frostedGt,09XUJ,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,1.02,0.03,2.62,0.06,,,0.29,0,2.58,1.63,32.13,,35.34,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0005,Pic-06-21_frostedGt,09XUK,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,1.11,0.04,3.79,0.1,,,0.33,0.02,3.42,2,30.46,,33.5,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0006,Pic21_VG,09RXG,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.36,0.1,38.32,0.46,,,0.75,0.01,7.15,14.36,9.66,,10.62,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0007,Pic21_VG,09RYE,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.26,0.1,28.73,0.38,,,0.62,0.01,5.47,12.01,9.55,,10.51,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0008,Pic21_VG,09SDB,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,3.4,0.07,31.66,0.38,,,0.67,0.01,9.3,10.84,11.32,,12.45,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0009,Pic21_VG,09SCZ,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,6.49,0.06,22.05,0.23,,,0.6,0.03,3.4,11.68,9.5,,10.45,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0010,Pic21_VG,09SDC,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,8.1,0.11,39,0.44,,,0.94,0.02,4.82,17.27,9.97,,10.96,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0011,Pic21_VG,09RXE,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,5.34,0.1,32.45,0.41,,,0.82,0.01,6.08,12.96,11.66,,12.82,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
#21,#21-0012,Pic21_FwVG,09SBU,"Quadrilátero Ferrífero, Minas Gerais",Brazil,"20°07' 5.48""S ","43°39'38.02""W",,,,1651,0,goethite,Weathered and enriched banded iron formation,Lateritized BIFs,7.61,0.08,28.62,0.31,,,1.34,0.04,3.76,14.34,17.15,,18.87,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
