RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#06,#06-0001,PR0916 chao_2,09LJX,"Serra do Quiriri, Paraná",Brazil,26°01'28.3''S,49°59'17.9''W,601230.199,7121207.679,22J,1336,,iron oxyhydroxides,,Lateritized continental sediments,18.28,0.30,27.47,0.47,4.49,,0.07,,1.50,24.73,0.54,,0.59,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0002,PR0916 chao_2,09LJY,"Serra do Quiriri, Paraná",Brazil,26°01'28.3''S,49°59'17.9''W,601230.199,7121207.679,22J,1336,,iron oxyhydroxides,,Lateritized continental sediments,4.14,0.12,22.30,0.38,9.73,,0.04,,5.38,9.38,0.87,,0.96,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0003,PR0917,09LJZ,"Serra do Quiriri, Paraná",Brazil,26°01'28.7''S,48°58'36.8''W,702452.03,7120018.867,22J,1382,,iron oxyhydroxides,,Lateritized continental sediments,5.89,0.11,156.96,1.18,0.99,,0.01,,26.63,42.78,0.05,,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0004,PR0917,09LKA,"Serra do Quiriri, Paraná",Brazil,26°01'28.7''S,48°58'36.8''W,702452.03,7120018.867,22J,1382,,iron oxyhydroxides,,Lateritized continental sediments,5.57,0.08,394.22,1.38,1.24,,0.01,,70.78,98.21,0.02,,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0005,PR0919,09LKB,"Serra do Quiriri, Paraná",Brazil,26°01'33.4''S,48°58'01.6''W,703428.514,7119859.083,22J,1361,,iron oxyhydroxides,,Lateritized continental sediments,3.02,0.07,63.41,0.63,0.79,,0.01,,20.96,17.93,0.08,,0.09,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0006,PR0919,09LKC,"Serra do Quiriri, Paraná",Brazil,26°01'33.4''S,48°58'01.6''W,703428.514,7119859.083,22J,1361,,iron oxyhydroxides,,Lateritized continental sediments,4.38,0.06,42.24,0.39,0.68,,0.01,,9.65,14.30,0.16,,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0007,PR0920_1 humico,09LKD,"Serra do Quiriri, Paraná",Brazil,26°01'31.2''S,48°58'06.4''W,703296.141,7119928.852,22J,1372,,iron oxyhydroxides,,Lateritized continental sediments,6.24,0.12,121.87,1.05,0.54,,0.12,,19.55,34.87,0.62,,0.68,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0008,PR0920_1 humico,09LKE,"Serra do Quiriri, Paraná",Brazil,26°01'31.2''S,48°58'06.4''W,703296.141,7119928.852,22J,1372,,iron oxyhydroxides,,Lateritized continental sediments,6.34,0.12,70.50,0.75,0.64,,0.21,,11.12,22.90,1.65,,1.82,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0009,PR0920_2 humico,09LKF,"Serra do Quiriri, Paraná",Brazil,26°01'31.2''S,48°58'06.4''W,703296.141,7119928.852,22J,1372,,iron oxyhydroxides,,Lateritized continental sediments,3.16,0.08,15.47,0.25,1.39,,0.11,,4.90,6.80,2.91,,3.20,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0010,PR0920_2 humico,09LKG,"Serra do Quiriri, Paraná",Brazil,26°01'31.2''S,48°58'06.4''W,703296.141,7119928.852,22J,1372,,iron oxyhydroxides,,Lateritized continental sediments,0.88,0.03,22.35,0.26,0.11,,0.01,,25.47,6.13,0.26,,0.28,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0011,PR0908.2,09LJV,"Curitiba Basin, Paraná",Brazil,25°30'26''S,49°18'50.4''W,669444.16,7177812.581,22J,944,,iron oxyhydroxides,continental sediments,Lateritized continental sediments,4.24,0.09,14.23,0.23,6.54,,4.78,,3.36,7.58,114.98,,126.48,12.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0012,PR0908.2,09LJW,"Curitiba Basin, Paraná",Brazil,25°30'26''S,49°18'50.4''W,669444.16,7177812.581,22J,944,,iron oxyhydroxides,continental sediments,Lateritized continental sediments,10.34,0.15,6.60,0.14,4.19,,0.03,,0.64,11.90,0.45,,0.50,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0013,PR0908.2_2_1,09MPP,"Curitiba Basin, Paraná",Brazil,25°30'26''S,49°18'50.4''W,669444.16,7177812.581,22J,944,,iron oxyhydroxides,continental sediments,Lateritized continental sediments,2.99,0.05,5.96,0.10,5.88,,0.01,,1.99,4.39,0.57,,0.63,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0014,PR0908.2_2_2,09MPQ,"Curitiba Basin, Paraná",Brazil,25°30'26''S,49°18'50.4''W,669444.16,7177812.581,22J,944,,iron oxyhydroxides,continental sediments,Lateritized continental sediments,3.08,0.07,5.68,0.12,5.96,,0.21,,1.84,4.42,8.60,,9.46,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0015,PR0930E_1,09MPL,"Curitiba Basin, Paraná",Brazil,25°22'24.3''S,49°07'51.2''W,688058.657,7192388.521,22J,946,,iron oxyhydroxides,continental sediments,Lateritized continental sediments,27.24,0.18,0.78,0.06,6.59,,0.24,,0.03,27.42,1.60,,1.76,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0016,PR0930E_2,09MPM,"Curitiba Basin, Paraná",Brazil,25°22'24.3''S,49°07'51.2''W,688058.657,7192388.521,22J,946,,iron oxyhydroxides,continental sediments,Lateritized continental sediments,4.18,0.08,8.62,0.15,9.53,,0.08,,2.06,6.21,2.38,,2.62,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0017,PR0721G_1,08COL,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,1.66,0.03,0.43,0.02,7.00,,0.05,,0.26,1.76,5.40,,5.94,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
