RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#06,#06-0018,PR0721G_2,08COM,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.36,0.05,0.20,0.02,8.03,,0.02,,0.06,3.41,1.08,,1.19,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0019,PR0721G_3,08CON,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.26,0.03,0.07,0.01,4.28,,0.02,,0.03,2.28,1.38,,1.51,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0020,PR0721B1_1,08COO,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,4.11,0.10,0.49,0.06,6.09,,0.01,,0.12,4.23,0.38,,0.41,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0021,PR0721B1_2,08COP,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,4.00,0.07,0.24,0.03,6.31,,0.01,,0.06,4.06,0.35,,0.39,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0022,PR0721B1_3,08COQ,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.59,0.09,0.50,0.07,5.02,,0.01,,0.14,3.71,0.40,,0.44,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0023,PR0721E_1,08COR,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.11,0.05,0.10,0.02,4.20,,0.03,,0.03,3.14,1.75,,1.92,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0024,PR0721E_2,08COS,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.82,0.06,0.21,0.03,2.94,,0.02,,0.07,2.87,1.51,,1.66,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0025,PR0721E_3,08COT,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.78,0.06,0.22,0.03,3.08,,0.04,,0.08,2.83,2.56,,2.81,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0026,PR0721C1B_1,08COU,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.47,0.04,0.16,0.02,2.71,,0.01,,0.07,2.51,0.79,,0.87,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0027,PR0721C1B_2,08COV,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,1.17,0.03,0.16,0.02,3.60,,0.00,,0.13,1.21,0.62,,0.68,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0028,PR0721C1B_3,08COW,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.81,0.05,0.18,0.02,1.41,,0.01,,0.06,2.85,0.72,,0.79,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0029,PR0721BD_1,08COX,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.13,0.07,0.30,0.04,2.11,,0.01,,0.09,3.20,0.46,,0.51,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0030,PR0721BD_2,08COY,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.73,0.05,0.19,0.02,1.67,,0.01,,0.07,2.78,0.60,,0.66,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0031,PR0721BD_3,08COZ,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.25,0.04,0.18,0.02,1.57,,0.01,,0.08,2.29,0.65,,0.71,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0032,PR0721B1B_1,08CPA,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,0.65,0.02,0.12,0.01,1.26,,0.00,,0.19,0.68,1.02,,1.12,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0033,PR0721B1B_2,08CPB,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,0.71,0.02,0.11,0.01,2.00,,0.00,,0.15,0.74,1.01,,1.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0034,PR0721B1B_3,08CPC,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,0.93,0.02,0.21,0.02,2.01,,0.00,,0.22,0.98,0.86,,0.95,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0035,PR0721B2A_1,08CPD,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,1.31,0.04,0.28,0.04,8.82,,0.01,,0.22,1.38,0.70,,0.77,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0036,PR0721B2A_2,08CPE,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,1.17,0.03,0.12,0.02,10.33,,0.00,,0.10,1.20,0.72,,0.80,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0037,PR0721B2A_3,08CPF,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,0.99,0.03,0.36,0.03,8.32,,0.01,,0.37,1.07,0.90,,0.99,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0038,PR0721C1A_1,08CPG,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.22,0.03,0.14,0.01,1.61,,0.01,,0.06,2.25,0.75,,0.83,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0039,PR0721B2A_1,08CPH,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,1.27,0.03,0.14,0.02,10.33,,0.01,,0.11,1.30,0.73,,0.80,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0040,PR0721C1A_3,08CPI,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.04,0.03,0.15,0.01,2.18,,0.01,,0.07,2.07,0.89,,0.98,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0041,PR0721C2B1_1,08CPJ,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.49,0.04,0.11,0.01,6.13,,0.12,,0.03,3.52,6.21,,6.84,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0042,PR0721C2B1_2,08CPK,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.30,0.04,0.13,0.01,5.96,,0.11,,0.04,3.33,6.28,,6.91,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0043,PR0721C2B1_3,08CPL,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.38,0.03,0.10,0.01,5.98,,0.12,,0.03,3.41,6.43,,7.07,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0044,PR0721C5E_1,08CPM,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.45,0.04,0.35,0.02,3.31,,0.01,,0.10,3.54,0.72,,0.79,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0045,PR0721C5E_2,08CPN,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.56,0.04,0.42,0.02,4.27,,0.02,,0.12,3.66,0.78,,0.85,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0046,PR0721C5E_3,08CPO,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.50,0.07,0.47,0.04,2.77,,0.01,,0.13,3.61,0.73,,0.80,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0047,PR0721H1_1,08CPP,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,4.62,0.04,0.07,0.01,7.14,,0.06,,0.02,4.64,2.29,,2.52,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0048,PR0721H1_2,08CPQ,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.13,0.03,0.16,0.01,2.71,,0.06,,0.05,3.16,3.50,,3.85,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0049,PR0721H1_3,08CPR,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.70,0.03,0.10,0.01,3.05,,0.04,,0.04,2.72,2.45,,2.69,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0050,PR0721H2_1,08CPS,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,0.48,0.02,0.20,0.03,3.13,,0.00,,0.41,0.52,0.89,,0.98,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0051,PR0721H2_2,08CPT,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,0.53,0.02,0.32,0.03,2.63,,0.00,,0.60,0.60,1.12,,1.23,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0052,PR0721H2_3,08CPU,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,0.71,0.02,0.28,0.03,4.85,,0.00,,0.40,0.78,1.00,,1.10,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0053,PR0721B2A_2,08CPX,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.54,0.05,0.91,0.04,1.88,,0.01,,0.36,2.76,0.70,,0.77,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0054,PR0721B2A_3,08CPY,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.81,0.05,0.18,0.02,7.67,,0.01,,0.06,2.86,0.56,,0.62,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0055,PR0721F1_1,08CPZ,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.91,0.05,0.19,0.02,19.06,,0.01,,0.07,2.96,0.72,,0.79,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0056,PR0721F1_2,08CQA,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.61,0.07,0.28,0.05,15.41,,0.01,,0.11,2.68,0.73,,0.80,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0057,PR0721F1_3,08CQB,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.91,0.05,0.19,0.02,6.05,,0.01,,0.05,3.95,0.51,,0.56,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0058,PR0721D_1,08CQC,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.03,0.52,25.70,3.72,6.64,,0.05,,8.50,9.06,0.97,,1.07,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0059,PR0721D_2,08CQD,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.48,0.05,0.13,0.02,4.68,,0.01,,0.04,3.51,0.40,,0.44,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0060,PR0721D_3,08CQE,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.98,0.05,0.12,0.02,5.13,,0.01,,0.04,3.01,0.39,,0.43,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0061,PR0721C5B_1,08CQF,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.54,0.06,0.27,0.03,4.81,,0.01,,0.08,3.60,0.74,,0.81,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0062,PR0721C5B_2,08CQG,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.80,0.06,0.67,0.03,7.24,,0.02,,0.18,3.96,0.82,,0.90,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0063,PR0721C5B_3,08CQH,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,4.17,0.05,0.49,0.02,6.06,,0.02,,0.12,4.29,0.81,,0.89,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0064,PR0721_1_1,08CQI,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.44,0.07,0.22,0.03,4.05,,0.04,,0.06,3.49,1.91,,2.10,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0065,PR0721_1_2,08CQJ,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.28,0.05,0.18,0.03,9.95,,0.02,,0.08,2.32,1.60,,1.76,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0066,PR0721_1_3,08CQK,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.92,0.06,0.16,0.03,7.40,,0.02,,0.05,2.95,1.46,,1.61,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0067,PR0721_3_1,08CQO,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.60,0.06,0.25,0.03,2.26,,0.02,,0.10,2.66,1.57,,1.72,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0068,PR0721_3_2,08CQP,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.84,0.05,0.13,0.02,3.55,,0.05,,0.03,3.87,2.16,,2.38,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0069,PR0721_3_3,08CQQ,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.78,0.06,0.25,0.03,2.71,,0.03,,0.09,2.84,1.95,,2.14,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0070,PR0721_4_1,08CQR,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.11,0.05,0.12,0.02,4.42,,0.03,,0.04,3.14,2.03,,2.23,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0071,PR0721_4_2,08CQS,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.90,0.05,0.12,0.02,3.47,,0.05,,0.03,3.93,2.10,,2.31,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0072,PR0721_4_3,08CQT,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,3.19,0.07,0.22,0.03,3.64,,0.03,,0.07,3.24,1.84,,2.02,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0073,PR0721_5_1,08CQU,"Ribeira river valley, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,"gondite, metasediments",Lateritized continental sediments,2.94,0.06,0.21,0.03,3.28,,0.06,,0.07,2.99,3.53,,3.88,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
#06,#06-0074,PR0721_5_2,08CQV,"Serra do Quiriri, Paraná",Brazil,25°21'28.8''S,49°36'67.7''W,688058.657,7192388.521,22J,970,,goethite,,Lateritized continental sediments,4.19,0.06,0.26,0.02,3.33,,0.10,,0.06,4.25,4.19,,4.61,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
